asset,beta_lb,top_frac,sharpe_dollar,sharpe_beta_neutral
crypto,60,0.1,0.243,0.791
crypto,60,0.2,-0.057,0.647
crypto,60,0.3,-0.087,0.552
crypto,90,0.1,-0.01,0.937
crypto,90,0.2,0.188,0.771
crypto,90,0.3,-0.142,0.413
crypto,120,0.1,0.007,0.874
crypto,120,0.2,-0.185,0.478
crypto,120,0.3,-0.05,0.565
equity,60,0.1,-0.45,0.338
equity,60,0.2,-0.36,0.449
equity,60,0.3,-0.459,0.322
equity,90,0.1,-0.453,0.213
equity,90,0.2,-0.45,0.27
equity,90,0.3,-0.453,0.242
equity,120,0.1,-0.427,0.365
equity,120,0.2,-0.435,0.345
equity,120,0.3,-0.423,0.387
