sweep,cell,full,first_half,second_half
universe,top10,0.821,1.453,0.167
universe,top25,1.205,1.526,0.851
universe,top50,0.828,1.403,0.207
universe,top100,0.639,0.798,0.449
universe,top200,0.358,0.564,0.114
timeframe,1d,0.639,0.798,0.449
timeframe,4h,0.772,0.887,0.649
timeframe,1h,0.467,0.424,0.501
timeframe,15m,0.53,0.665,0.401
timeframe,5m,-0.102,0.071,-0.268
rebalance,1h_lb1d_rb1h,-6.18,,
rebalance,1h_lb1d_rb4h,-3.94,,
rebalance,1h_lb1d_rb1d,-1.97,,
rebalance,1h_lb1d_rb1w,-0.78,,
rebalance,1h_lb1d_rb1M,-0.31,,
rebalance,1h_lb3d_rb1h,-4.17,,
rebalance,1h_lb3d_rb4h,-3.03,,
rebalance,1h_lb3d_rb1d,-1.49,,
rebalance,1h_lb3d_rb1w,-0.47,,
rebalance,1h_lb3d_rb1M,-0.17,,
rebalance,1h_lb7d_rb1h,-2.68,,
rebalance,1h_lb7d_rb4h,-1.93,,
rebalance,1h_lb7d_rb1d,-1.1,,
rebalance,1h_lb7d_rb1w,-0.46,,
rebalance,1h_lb7d_rb1M,-0.32,,
rebalance,1h_lb30d_rb1h,-1.23,,
rebalance,1h_lb30d_rb4h,-0.81,,
rebalance,1h_lb30d_rb1d,-0.25,,
rebalance,1h_lb30d_rb1w,-0.18,,
rebalance,1h_lb30d_rb1M,0.08,,
rebalance,1h_lb90d_rb1h,-0.52,,
rebalance,1h_lb90d_rb4h,-0.16,,
rebalance,1h_lb90d_rb1d,0.19,,
rebalance,1h_lb90d_rb1w,0.43,,
rebalance,1h_lb90d_rb1M,0.47,,
fx,12 USD-pairs oriented,-0.179,-0.318,-0.041
fx,all 25 pairs,-0.091,0.007,-0.191
