feature,family,ic,ic_t,abs_ic,ic_sign_consistency,n_obs,cluster,is_rep,kept
beta_20,cross_asset,-0.07663490201831925,-10.349400943329238,0.07663490201831925,1.0,18238,7,True,True
beta_60,cross_asset,-0.07521115177897157,-10.067624422459032,0.07521115177897157,0.86,17918,7,False,False
obv_z_50,volume_flow,0.05153109446109792,6.914773984493846,0.05153109446109792,0.57,18006,20,True,False
logret_120,momentum,0.046121920112508014,6.090538823142694,0.046121920112508014,0.29,17438,17,True,False
ret_120,momentum,0.046121913020235314,6.0905378865866675,0.046121913020235314,0.29,17438,17,False,False
sma_slope_20,trend,0.0430962883383826,5.795769852202992,0.0430962883383826,0.29,18086,20,False,False
vol_z_50,volume_flow,0.03953649540725695,5.3052614686176796,0.03953649540725695,0.57,18006,5,True,False
vol_z_20,volume_flow,0.03790283005854755,5.119829207068769,0.03790283005854755,0.86,18246,5,False,False
bb_pctb_100,mean_reversion,0.03584285975289546,4.755903146642969,0.03584285975289546,0.29,17606,20,False,False
zscore_100,mean_reversion,0.03584285975289546,4.755903146642969,0.03584285975289546,0.29,17606,20,False,False
dollar_vol_z_20,volume_flow,0.035598343733842304,4.808544367010877,0.035598343733842304,0.57,18246,5,False,False
dollar_vol_z_50,volume_flow,0.03510413054355424,4.710498218004914,0.03510413054355424,0.57,18006,5,False,False
sma_slope_10,trend,0.032975952171985554,4.454317601093246,0.032975952171985554,0.71,18246,20,False,False
sma_slope_100,trend,0.032789631679578685,4.25078087498508,0.032789631679578685,0.0,16806,17,False,False
tail_ratio_60,higher_moments,0.03089982887077275,4.136193429179396,0.03089982887077275,0.29,17918,24,True,False
px_sma_200,trend,0.030861779400492444,4.0008580433468115,0.030861779400492444,0.14,16806,17,False,False
corr_stability,cross_asset,-0.030504968463169232,-4.0833381518831,0.030504968463169232,0.57,17918,25,True,False
sma_50_200,trend,0.030108551632959616,3.9032111341035356,0.030108551632959616,0.0,16806,17,False,False
bb_pctb_50,mean_reversion,0.02994351676084377,4.018013839361534,0.02994351676084377,0.57,18006,20,False,False
zscore_50,mean_reversion,0.02994351676084377,4.018013839361534,0.02994351676084377,0.57,18006,20,False,False
rs_bench_60,cross_asset,-0.029909195618598276,-4.00358911070544,0.029909195618598276,1.0,17918,16,True,True
px_sma_50,trend,0.027417158209915644,3.679010785648997,0.027417158209915644,0.14,18006,20,False,False
logret_1,momentum,-0.027160496442990657,-3.6832277023931512,0.027160496442990657,1.0,18390,13,True,True
ret_1,momentum,-0.027160462867940046,-3.6832231492894634,0.027160462867940046,1.0,18390,13,False,False
vwap_dist_50,mean_reversion,0.02676989752592592,3.5921571803521677,0.02676989752592592,0.29,18006,20,False,False
breakout_up_55,range_breakout,0.026466793963862322,3.5467478990457204,0.026466793963862322,0.43,17958,22,True,False
px_ema_200,trend,0.025833909996874245,3.5040915917763864,0.025833909996874245,0.14,18398,17,False,False
px_sma_100,trend,0.025551968906816425,3.390429507149878,0.025551968906816425,0.14,17606,20,False,False
range_width_20,range_breakout,0.0251022557016968,3.3907563552994686,0.0251022557016968,0.57,18246,8,True,False
px_ema_100,trend,0.024301524171334864,3.296239962376131,0.024301524171334864,0.14,18398,20,False,False
px_ema_50,trend,0.02420820254493109,3.283581889074338,0.02420820254493109,0.14,18398,20,False,False
corr_20,cross_asset,-0.02292695203052868,-3.0962422176216378,0.02292695203052868,0.29,18238,18,True,False
donchian_pos_20,range_breakout,0.02174567154836892,2.9373565021052133,0.02174567154836892,0.57,18246,21,True,False
cci_20,oscillators,0.02112833496287093,2.8420555772291722,0.02112833496287093,0.57,18094,21,False,False
donchian_pos_55,range_breakout,0.021063765944077,2.8233304885238018,0.021063765944077,0.14,17966,20,False,False
taker_imbalance,volume_flow,0.020323476136813488,2.7566606005553487,0.020323476136813488,0.71,18398,14,True,True
entropy_ret_100,statistical,-0.02009460049003016,-2.6656985324472253,0.02009460049003016,0.43,17598,1,True,False
williams_r_14,oscillators,0.019418452892281838,2.626448945835116,0.019418452892281838,0.57,18294,21,False,False
stoch_k_14,oscillators,0.019418189253196765,2.6264132872478476,0.019418189253196765,0.57,18294,21,False,False
logret_20,momentum,0.01914765476296851,2.5858551527740974,0.01914765476296851,0.57,18238,20,False,False
ret_20,momentum,0.01914764400010192,2.585853699268988,0.01914764400010192,0.57,18238,20,False,False
