limits,leverage,full_sharpe,full_cagr,full_max_dd,full_worst_month,full_months_in_profit,full_streak,full_targets,oos_sharpe,oos_cagr,oos_max_dd,oos_worst_month,oos_months_in_profit,oos_streak,oos_targets,stress_max_dd,stress_worst_month,stress_streak,stress_months_in_profit,mc_dd_p5,mc_wmonth_p5,mc_wmonth_p50,breaker_days,mean_gross,days_derisked
book_equity,1.0,2.94,0.2782,-0.0892,-0.0846,0.6968,4,2,2.43,0.1814,-0.0658,-0.0345,0.5769,3,2,-0.0892,-0.0846,4,0.6862,-0.1386,-0.0947,-0.0583,1,0.988,0.0309
book_equity,1.05,2.94,0.2927,-0.0936,-0.0888,0.6915,4,2,2.45,0.1916,-0.0674,-0.0362,0.5769,3,2,-0.0936,-0.0888,4,0.6809,-0.1451,-0.0996,-0.0612,1,1.032,0.0458
book_equity,1.1,2.95,0.3074,-0.0948,-0.0898,0.6915,4,2,2.45,0.201,-0.0697,-0.0379,0.5769,3,2,-0.0948,-0.0898,4,0.6809,-0.1493,-0.1043,-0.0641,1,1.075,0.0614
book_equity,1.15,2.94,0.3215,-0.0994,-0.0941,0.6862,4,2,2.46,0.2114,-0.0719,-0.0396,0.5769,3,2,-0.1017,-0.0941,4,0.6755,-0.1562,-0.1089,-0.067,2,1.116,0.0796
book_equity,1.2,2.95,0.3371,-0.1037,-0.0982,0.6862,4,2,2.44,0.2182,-0.0742,-0.0413,0.5769,3,2,-0.1037,-0.0982,4,0.6755,-0.1639,-0.1136,-0.0702,2,1.155,0.1016
book_equity,1.25,2.94,0.3511,-0.108,-0.1023,0.6915,4,2,2.42,0.2234,-0.0772,-0.043,0.5769,3,2,-0.1121,-0.1023,4,0.6809,-0.1714,-0.1179,-0.073,4,1.196,0.1129
book_equity,1.3,2.93,0.3641,-0.1122,-0.1064,0.6809,4,2,2.44,0.2342,-0.0785,-0.0447,0.5769,3,2,-0.1173,-0.1064,4,0.6649,-0.1782,-0.1221,-0.0764,4,1.24,0.1161
book_equity,1.35,2.92,0.378,-0.1165,-0.1105,0.6809,4,2,2.37,0.2311,-0.0809,-0.0464,0.5769,3,2,-0.1203,-0.1105,4,0.6649,-0.1821,-0.1281,-0.0798,6,1.273,0.1329
book_equity,1.4,2.91,0.3909,-0.1208,-0.1145,0.6862,4,2,2.37,0.2404,-0.0838,-0.0481,0.5769,3,2,-0.1243,-0.1145,4,0.6702,-0.1908,-0.1342,-0.0828,7,1.309,0.1392
book_equity,1.45,2.92,0.407,-0.1209,-0.1144,0.6862,4,2,2.39,0.2517,-0.0837,-0.0498,0.5769,3,2,-0.1248,-0.1144,4,0.6702,-0.2022,-0.1337,-0.0942,9,1.353,0.1422
book_equity,1.5,2.89,0.4161,-0.1251,-0.1184,0.6809,4,2,2.36,0.2564,-0.0853,-0.0515,0.5769,3,2,-0.1253,-0.1184,4,0.6649,-0.211,-0.1372,-0.0979,9,1.378,0.1574
book_equity,1.55,2.89,0.4308,-0.1292,-0.1223,0.6862,4,2,2.37,0.2669,-0.0864,-0.0531,0.5769,3,2,-0.1292,-0.1223,11,0.6596,-0.217,-0.1412,-0.1009,9,1.415,0.1674
book_equity,1.6,2.9,0.4473,-0.1333,-0.1263,0.6862,4,2,2.39,0.2781,-0.0882,-0.0548,0.5769,3,2,-0.1333,-0.1263,11,0.6596,-0.2211,-0.1456,-0.1046,9,1.445,0.1771
