sleeve,annual_turnover,gross_pnl,cost,cost_share_of_gross_pnl,breakeven_cost_mult,cost_fragile
TSLA_15m_breakout,177.6,0.5968,0.2601,0.4359,2.3,True
SOLUSDT_15m_trend,134.0,1.3512,0.5146,0.3809,2.6,True
ETHUSDT_4h_breakout,30.8,0.4418,0.1262,0.2856,3.5,False
NEARUSDT_4h_breakout,20.1,0.3777,0.0883,0.2339,4.3,False
ADAUSDT_4h_breakout,24.8,0.4932,0.1134,0.23,4.3,False
MRK_4h_mean_reversion,66.7,0.5088,0.1049,0.2061,4.9,False
ADAUSDT_1h_trend,38.1,0.9437,0.1737,0.184,5.4,False
TRXUSDT_1d_carry,9.9,0.2707,0.0464,0.1712,5.8,False
QNTUSDT_1d_carry,11.7,0.2685,0.0449,0.1673,6.0,False
BAC_15m_trend,111.2,1.0609,0.1706,0.1608,6.2,False
DOGEUSDT_1h_trend,38.8,1.1437,0.1695,0.1482,6.7,False
TSLA_1h_breakout,44.3,0.4625,0.0649,0.1402,7.1,False
NVDA_15m_trend,71.2,0.9153,0.1049,0.1146,8.7,False
SOLUSDT_1h_trend,31.5,1.0882,0.1204,0.1106,9.0,False
AAPL_4h_breakout,27.5,0.4138,0.04,0.0967,10.3,False
1000PEPEUSDT_1h_trend,24.6,0.6815,0.0536,0.0786,12.7,False
TSLA_15m_trend,61.6,1.327,0.0897,0.0676,14.8,False
NVDA_4h_breakout,14.9,0.3511,0.022,0.0626,16.0,False
BTCUSDT_4h_trend,13.3,1.0139,0.0536,0.0528,18.9,False
ALGOUSDT_4h_trend,7.0,0.7153,0.0352,0.0492,20.3,False
HBARUSDT_4h_trend,7.9,0.684,0.0334,0.0488,20.5,False
RUNEUSDT_4h_trend,6.5,0.6798,0.033,0.0486,20.6,False
ADAUSDT_1d_breakout,3.7,0.3546,0.0165,0.0466,21.5,False
GRTUSDT_4h_trend,6.6,0.6981,0.0312,0.0447,22.4,False
BNBUSDT_4h_trend,12.6,1.2918,0.0538,0.0417,24.0,False
VETUSDT_4h_trend,7.6,1.2244,0.0418,0.0341,29.3,False
ADAUSDT_4h_trend,7.9,1.076,0.0347,0.0323,31.0,False
NEARUSDT_1d_breakout,2.9,0.3899,0.0123,0.0315,31.7,False
XRPUSDT_1d_breakout,2.6,0.4151,0.0114,0.0274,36.4,False
AVAXUSDT_1d_breakout,2.9,0.4812,0.0123,0.0256,39.0,False
TSLA_1h_trend,14.4,0.8985,0.021,0.0233,42.8,False
QQQ_4h_trend,7.4,0.7072,0.0104,0.0147,67.9,False
ORCL_4h_trend,6.5,0.9213,0.0102,0.0111,90.1,False
MA_1d_trend,4.0,1.3122,0.0136,0.0104,96.6,False
TRXUSDT_1d_trend,2.0,0.8879,0.0092,0.0103,96.9,False
META_4h_trend,5.5,0.8546,0.0082,0.0096,103.9,False
NFLX_4h_trend,5.0,0.8829,0.0076,0.0086,116.7,False
GOOGL_4h_trend,5.3,0.9239,0.0078,0.0085,118.1,False
MSFT_1d_trend,3.2,1.2647,0.0105,0.0083,120.8,False
QQQ_1d_trend,4.3,1.7689,0.0137,0.0077,129.3,False
BTCUSDT_1d_trend,1.6,0.8214,0.0062,0.0075,132.5,False
V_1d_trend,3.3,1.6534,0.0108,0.0065,153.6,False
NVDA_4h_trend,3.8,0.9402,0.0056,0.0059,168.1,False
AVGO_4h_trend,3.9,1.2984,0.0059,0.0045,221.8,False
NVDA_1d_trend,2.0,2.1567,0.0071,0.0033,304.8,False
ADBE_1d_trend,2.1,2.0614,0.0068,0.0033,301.9,False
