sleeve,kind,tf,family,sharpe,mc_p5,mc_p50,max_dd,months_in_profit,turnover,placebo_sharpe,screened,wf_oos,accepted
BTCUSDT_5m_trend,crypto,5m,trend,-2.327472777520345,,,-0.9495467100919797,0.24050632911392406,6341.076298144083,-34.91773047318717,False,,False
BTCUSDT_5m_carry,crypto,5m,carry,-1.8883471100139129,,,-0.7310003086009537,0.27848101265822783,2377.392902552248,-16.66957243117886,False,,False
BTCUSDT_5m_mean_reversion,crypto,5m,mean_reversion,-26.745766265641688,,,-0.9999999999870358,0.0,42119.92588145871,-30.234279226971957,False,,False
BTCUSDT_5m_breakout,crypto,5m,breakout,-16.98193353231906,,,-0.9999644928173447,0.0,15961.619260659672,-23.465328025275365,False,,False
ETHUSDT_5m_trend,crypto,5m,trend,-1.3922535640977127,,,-0.842401248907575,0.379746835443038,4694.994479775289,-35.08344401038458,False,,False
ETHUSDT_5m_carry,crypto,5m,carry,-1.8057743033832356,,,-0.7018921386696092,0.25316455696202533,1804.0361531625576,-16.0981073213332,False,,False
ETHUSDT_5m_mean_reversion,crypto,5m,mean_reversion,-23.384004008559543,,,-0.9999999958142309,0.0,30818.40031682968,-30.849084920245545,False,,False
ETHUSDT_5m_breakout,crypto,5m,breakout,-13.045830298491556,,,-0.9991582339961478,0.0,11297.250240528696,-22.948697180034685,False,,False
BNBUSDT_5m_trend,crypto,5m,trend,-1.922798369603023,,,-0.9118354327550102,0.2692307692307692,4981.372843758516,-35.46549497400344,False,,False
BNBUSDT_5m_carry,crypto,5m,carry,-2.132757145111225,,,-0.7094537359846138,0.23076923076923078,1554.9721710759916,-15.521819406671147,False,,False
BNBUSDT_5m_mean_reversion,crypto,5m,mean_reversion,-26.56460803611245,,,-0.9999999998982596,0.0,34496.564384871075,-32.03156612272589,False,,False
BNBUSDT_5m_breakout,crypto,5m,breakout,-17.484829205336908,,,-0.9999490484589474,0.0,14328.300015066388,-26.4441448138691,False,,False
XRPUSDT_5m_trend,crypto,5m,trend,-1.6403521637052108,,,-0.8829301770061174,0.34177215189873417,4101.636651135934,-36.65195337890291,False,,False
XRPUSDT_5m_carry,crypto,5m,carry,-1.47838444432761,,,-0.6002636935676106,0.35443037974683544,1406.2918538502374,-16.501150349084035,False,,False
XRPUSDT_5m_mean_reversion,crypto,5m,mean_reversion,-24.210664121328048,,,-0.9999999866358551,0.0,27062.54931031429,-32.2788518971093,False,,False
XRPUSDT_5m_breakout,crypto,5m,breakout,-13.484367543212532,,,-0.9992700320545198,0.0,9980.894647849613,-23.25594665054574,False,,False
SOLUSDT_5m_trend,crypto,5m,trend,-0.31943847395652053,,,-0.44178734361352345,0.4507042253521127,2594.765214483128,-37.13541765081229,False,-0.28847170455285936,False
SOLUSDT_5m_carry,crypto,5m,carry,-0.03295973347007638,,,-0.2301378206806456,0.5633802816901409,1079.9627652399274,-17.51583314578696,False,,False
SOLUSDT_5m_mean_reversion,crypto,5m,mean_reversion,-20.305868529159227,,,-0.9999969022603855,0.0,18765.55716873422,-32.584900947923025,False,,False
SOLUSDT_5m_breakout,crypto,5m,breakout,-12.313310212374063,,,-0.9948555724362594,0.0,7620.835761393619,-23.84393644966807,False,,False
TRXUSDT_5m_trend,crypto,5m,trend,-2.8731561118462956,,,-0.9758687958258969,0.22784810126582278,6334.588068228132,-34.541033962087056,False,,False
TRXUSDT_5m_carry,crypto,5m,carry,-3.185677920856107,,,-0.8684467830709068,0.17721518987341772,2686.3793564187604,-16.207410914356736,False,,False
TRXUSDT_5m_mean_reversion,crypto,5m,mean_reversion,-28.299062161587095,,,-0.9999999999999961,0.0,44579.20173209873,-31.145474981126405,False,,False
TRXUSDT_5m_breakout,crypto,5m,breakout,-18.402474041546935,,,-0.9999980086114443,0.0,19322.60363034895,-23.347478318988397,False,,False
DOGEUSDT_5m_trend,crypto,5m,trend,-1.4673154649170177,,,-0.8245608397669387,0.3150684931506849,3359.634377809053,-27.595645564722208,False,,False
DOGEUSDT_5m_carry,crypto,5m,carry,-1.6410138230164801,,,-0.588874165680747,0.3150684931506849,1172.4891101224293,-14.999425236158748,False,,False
DOGEUSDT_5m_mean_reversion,crypto,5m,mean_reversion,-19.99036898710246,,,-0.9999997734439472,0.0,22054.71343071488,-25.176292516847074,False,,False
DOGEUSDT_5m_breakout,crypto,5m,breakout,-13.593437189911741,,,-0.9988141394541572,0.0,8146.217150268601,-21.534537810686803,False,,False
ZECUSDT_5m_trend,crypto,5m,trend,-1.8210070401107354,,,-0.9153160629296356,0.28205128205128205,2640.7056205956487,-34.652429043667816,False,,False
ZECUSDT_5m_carry,crypto,5m,carry,-0.8146270058592426,,,-0.4032128371702459,0.3717948717948718,717.4653037714992,-13.270780469484263,False,,False
ZECUSDT_5m_mean_reversion,crypto,5m,mean_reversion,-21.003902127324462,,,-0.9999999104548135,0.0,18814.791567545184,-31.067041914024674,False,,False
ZECUSDT_5m_breakout,crypto,5m,breakout,-14.825155164684826,,,-0.9995444537701941,0.0,7398.252403354588,-24.796854758956968,False,,False
ADAUSDT_5m_trend,crypto,5m,trend,-1.0748253805495491,,,-0.7700566363026768,0.31645569620253167,3209.2338880820507,-38.768055478947815,False,-0.11660211285441292,False
ADAUSDT_5m_carry,crypto,5m,carry,-0.850666241845607,,,-0.48320667319698585,0.35443037974683544,1073.9785157203628,-15.981325167866567,False,,False
ADAUSDT_5m_mean_reversion,crypto,5m,mean_reversion,-21.48483550587692,,,-0.999999838684667,0.0,22692.673986140067,-33.451783013083634,False,,False
