sleeve,kind,tf,sym,sharpe,mc_p5,mc_p50,max_dd,months_in_profit,ann_turnover,placebo_sharpe,n_obs,robust
BTCUSDT_1d_breakout,crypto,1d,BTCUSDT,0.4501745301608374,,,-0.1306130313732785,0.379746835443038,3.186149322474377,0.6083665373626974,2404,False
ETHUSDT_1d_breakout,crypto,1d,ETHUSDT,0.7920342465993034,0.23362817613420406,0.8096511938316653,-0.1665603673749747,0.4177215189873418,2.2953509100864586,-0.3340578319386516,2404,True
BNBUSDT_1d_breakout,crypto,1d,BNBUSDT,0.9100610401909824,0.33666885894323517,0.9075632091824237,-0.13379505683061654,0.38461538461538464,2.4603262942545894,-0.5613850011447695,2364,True
XRPUSDT_1d_breakout,crypto,1d,XRPUSDT,0.5754237929451101,-0.21048880526376756,0.5594615948527315,-0.16513354393058122,0.27848101265822783,1.740308739023832,-0.007473402160428641,2399,False
SOLUSDT_1d_breakout,crypto,1d,SOLUSDT,0.16840495192987273,,,-0.2815837986439397,0.323943661971831,1.785918196684278,0.1092331912946577,2147,False
TRXUSDT_1d_breakout,crypto,1d,TRXUSDT,0.44673603066719275,,,-0.15969195967475514,0.3670886075949367,3.68874881415542,-0.16952602337727163,2390,False
DOGEUSDT_1d_breakout,crypto,1d,DOGEUSDT,0.4805169439103973,,,-0.2197112355179236,0.3698630136986301,2.079351909045479,0.41573014413325365,2213,False
ZECUSDT_1d_breakout,crypto,1d,ZECUSDT,0.1874397960771429,,,-0.30159092047729086,0.28205128205128205,1.8168459233658527,0.07933655515514104,2369,False
ADAUSDT_1d_breakout,crypto,1d,ADAUSDT,0.803806142221731,0.15508200740593803,0.8220444287098303,-0.15651176764221364,0.3670886075949367,1.912879879769258,-0.2713525547569262,2374,True
XMRUSDT_1d_breakout,crypto,1d,XMRUSDT,-0.03414186947213746,,,-0.34986923089287914,0.2948717948717949,2.7005148279807325,-0.39827772063737493,2371,False
LINKUSDT_1d_breakout,crypto,1d,LINKUSDT,-0.0585905665038427,,,-0.34339357533185133,0.31645569620253167,2.151787514551102,-0.3059920367387919,2388,False
XLMUSDT_1d_breakout,crypto,1d,XLMUSDT,0.10409249273374288,,,-0.2914959196366532,0.189873417721519,2.0113481609239248,-0.14078774672729263,2385,False
BCHUSDT_1d_breakout,crypto,1d,BCHUSDT,-0.029687947452186145,,,-0.27839253208912207,0.27848101265822783,2.0485161503131852,-0.020431942235804332,2404,False
LTCUSDT_1d_breakout,crypto,1d,LTCUSDT,-0.19163367183463484,,,-0.33152831958609374,0.31645569620253167,2.324088065743941,-0.5982728041165258,2396,False
HBARUSDT_1d_breakout,crypto,1d,HBARUSDT,0.8725438812041246,0.23690060735998972,0.9020676215133294,-0.13074125223713728,0.38461538461538464,1.5709717016364906,-0.5997241589902591,1963,True
1000SHIBUSDT_1d_breakout,crypto,1d,1000SHIBUSDT,0.47324039412000307,,,-0.2178043437689826,0.31746031746031744,1.8493631919023013,-0.7894511415372595,1909,False
AVAXUSDT_1d_breakout,crypto,1d,AVAXUSDT,0.9690996167324596,0.23699521617770464,0.9862048295388732,-0.1890156916314495,0.38028169014084506,1.6706594648166204,0.10153950706916784,2138,True
SUIUSDT_1d_breakout,crypto,1d,SUIUSDT,0.32873847577867293,,,-0.18215054074554882,0.48717948717948717,1.643993516896251,0.266240891473158,1186,False
UNIUSDT_1d_breakout,crypto,1d,UNIUSDT,0.2988498342556687,,,-0.21733145749990623,0.39436619718309857,1.8354116469612225,-0.7780080948640653,2143,False
NEARUSDT_1d_breakout,crypto,1d,NEARUSDT,0.44961617114010255,,,-0.30443429444603076,0.34285714285714286,1.6515173144047721,0.2274864072253787,2116,False
DOTUSDT_1d_breakout,crypto,1d,DOTUSDT,0.7188853019479788,0.04548428957475796,0.7004316696436389,-0.1648442489626918,0.4722222222222222,1.8322038145880593,-0.4128260336244076,2170,True
AAVEUSDT_1d_breakout,crypto,1d,AAVEUSDT,-0.15636592788952555,,,-0.2696972206128764,0.32857142857142857,1.7215950065769228,-1.0506145714811788,2115,False
1000PEPEUSDT_1d_breakout,crypto,1d,1000PEPEUSDT,0.4040574280889622,,,-0.14141433445722484,0.28205128205128205,1.5087194537590876,0.24076275002462955,1184,False
ICPUSDT_1d_breakout,crypto,1d,ICPUSDT,0.36934007206611374,,,-0.18071494739124794,0.3492063492063492,1.729788225077729,-1.0003164201323103,1908,False
ETCUSDT_1d_breakout,crypto,1d,ETCUSDT,0.23962164269649852,,,-0.21672918106574646,0.3670886075949367,1.9204831292499667,-0.5473839184339498,2389,False
ALGOUSDT_1d_breakout,crypto,1d,ALGOUSDT,0.3298773462707788,,,-0.19586524205486322,0.35135135135135137,1.7915481200031493,-0.2345516222425356,2237,False
ATOMUSDT_1d_breakout,crypto,1d,ATOMUSDT,0.4087911617608794,,,-0.25863705064264975,0.38461538461538464,1.9271658652300212,0.12102437212404354,2367,False
FILUSDT_1d_breakout,crypto,1d,FILUSDT,0.04583232391778261,,,-0.24588623047573166,0.34285714285714286,1.552911221213328,0.6646493020623471,2115,False
ARBUSDT_1d_breakout,crypto,1d,ARBUSDT,0.08331106659787446,,,-0.17596299161026407,0.34146341463414637,2.0304882529559616,-0.6856566125243315,1227,False
APTUSDT_1d_breakout,crypto,1d,APTUSDT,-0.09434115834787435,,,-0.26207523552432754,0.32608695652173914,1.788758430280331,-0.49361863416161483,1382,False
INJUSDT_1d_breakout,crypto,1d,INJUSDT,1.0088828968459598,0.17410190603775014,1.0296217850438156,-0.2085250168283571,0.375,1.2897508825987332,-0.7195334812645545,1445,True
DASHUSDT_1d_breakout,crypto,1d,DASHUSDT,-0.14966902537549046,,,-0.2738456266461664,0.3076923076923077,2.002952833651539,-0.4041525420204576,2370,False
VETUSDT_1d_breakout,crypto,1d,VETUSDT,0.8929311872304058,0.2811014383083961,0.899778660201751,-0.1775191292480286,0.46153846153846156,1.8456491378073803,-0.4982881515064251,2360,True
FETUSDT_1d_breakout,crypto,1d,FETUSDT,0.40717582331550484,,,-0.19582793024969658,0.3953488372093023,1.5129415039365055,0.17928868064320175,1292,False
CRVUSDT_1d_breakout,crypto,1d,CRVUSDT,0.17165688188109254,,,-0.17626125080408273,0.38028169014084506,1.5242745321641455,0.43020603848950073,2160,False
1000LUNCUSDT_1d_breakout,crypto,1d,1000LUNCUSDT,-0.11653213190017561,,,-0.27240028718505327,0.3191489361702128,1.8336911862376721,-0.08547599234316766,1422,False
STXUSDT_1d_breakout,crypto,1d,STXUSDT,0.03828820700163301,,,-0.22128630735172417,0.40476190476190477,1.5526949136951727,-0.5089118006676673,1257,False
LDOUSDT_1d_breakout,crypto,1d,LDOUSDT,0.09555694073102773,,,-0.20050504331976216,0.2978723404255319,1.4922810853263635,0.0881174314333549,1409,False
IMXUSDT_1d_breakout,crypto,1d,IMXUSDT,-0.12059383268812447,,,-0.2973407807304509,0.4444444444444444,1.759994241557525,-0.24692656577594582,1632,False
XTZUSDT_1d_breakout,crypto,1d,XTZUSDT,0.35175158181974553,,,-0.18434185642590473,0.46153846153846156,2.001602484910142,-0.44498019018323365,2368,False
JASMYUSDT_1d_breakout,crypto,1d,JASMYUSDT,0.3044072066324845,,,-0.19012140489504503,0.38461538461538464,1.5922184751679322,0.2740329461100671,1564,False
CFXUSDT_1d_breakout,crypto,1d,CFXUSDT,-0.30293687571055933,,,-0.23154559805465935,0.35714285714285715,1.5862003471806891,-0.2669434941168755,1258,False
OPUSDT_1d_breakout,crypto,1d,OPUSDT,0.29764667684193463,,,-0.18807240844161888,0.32,1.5166613192676974,-0.23341955048423155,1522,False
1000FLOKIUSDT_1d_breakout,crypto,1d,1000FLOKIUSDT,0.4983570037935065,,,-0.17085456474622907,0.4358974358974359,1.6463309350103643,0.1883812127838492,1183,False
ENSUSDT_1d_breakout,crypto,1d,ENSUSDT,-0.09058357687661965,,,-0.2743814520223825,0.3333333333333333,2.0061562538849484,-0.4765802062428014,1705,False
COMPUSDT_1d_breakout,crypto,1d,COMPUSDT,0.19756357610757483,,,-0.1687312058538042,0.3108108108108108,1.4983751407958215,-0.21748340535441002,2223,False
GRTUSDT_1d_breakout,crypto,1d,GRTUSDT,0.4250656576625959,,,-0.19357869801617567,0.39705882352941174,1.6214679588246506,-0.09620205458177458,2051,False
IOTAUSDT_1d_breakout,crypto,1d,IOTAUSDT,0.3361162922104065,,,-0.22514534051736423,0.38461538461538464,1.932038736065057,-0.48882220486562605,2362,False
RUNEUSDT_1d_breakout,crypto,1d,RUNEUSDT,0.701825216972554,0.022859445300241928,0.7196548314275366,-0.155251675016419,0.4507042253521127,1.6227782922526945,-0.5247968406885561,2157,True
MKRUSDT_1d_breakout,crypto,1d,MKRUSDT,0.4668263094167389,,,-0.19478063475276997,0.3055555555555556,1.3550065475523985,-0.1665465463496936,2179,False
AAPL_1d_breakout,equity,1d,AAPL,0.1743689655232943,,,-0.30148156208290877,0.4034090909090909,3.6475927472756347,-0.1039241509559329,5328,False
ABBV_1d_breakout,equity,1d,ABBV,0.05240019458385288,,,-0.29810003241221916,0.32926829268292684,3.8146340329786117,0.08962716079254389,4963,False
ADBE_1d_breakout,equity,1d,ADBE,-0.10959044231893789,,,-0.3934562999597119,0.38636363636363635,3.7335624202313884,-0.574605634880358,5328,False
AGG_1d_breakout,equity,1d,AGG,-0.0505488916230344,,,-0.2448902088744631,0.3352272727272727,16.790968709570844,-0.9304510433415212,5328,False
AMD_1d_breakout,equity,1d,AMD,0.09898668733222464,,,-0.38672629037754613,0.375,1.9352199108421035,-0.4325009886477928,5328,False
AMZN_1d_breakout,equity,1d,AMZN,0.01919100943453738,,,-0.4320589070817167,0.32954545454545453,3.188195567222353,-0.5157324559882146,5328,False
BA_1d_breakout,equity,1d,BA,0.1508669755991885,,,-0.4447275548041323,0.3409090909090909,3.498150824964276,0.22699443272747385,5328,False
BAC_1d_breakout,equity,1d,BAC,-0.11467077842843486,,,-0.37854224590343655,0.3409090909090909,3.750380459792883,-0.04799168052550399,5328,False
BND_1d_breakout,equity,1d,BND,-0.028011294358863324,,,-0.2990872204180335,0.3352272727272727,16.612710168213948,-1.2911203783967098,5328,False
C_1d_breakout,equity,1d,C,-0.14944489691064441,,,-0.43394879258030716,0.30113636363636365,3.6651599140792652,0.0768199238618188,5328,False
CAT_1d_breakout,equity,1d,CAT,0.2311277819475762,,,-0.3304707100800385,0.38636363636363635,3.604311852017181,-0.13956642815111547,5328,False
COP_1d_breakout,equity,1d,COP,0.13563283189719644,,,-0.36361644190883824,0.3693181818181818,3.57819158193263,-0.1774850480144735,5328,False
COST_1d_breakout,equity,1d,COST,0.16608170740816366,,,-0.3083576144082435,0.3806818181818182,4.757950447315409,-0.29184906977135466,5328,False
CPER_1d_breakout,equity,1d,CPER,-0.17491219104306968,,,-0.6399009739716071,0.23863636363636365,4.686907915234062,-1.020534152238374,5328,False
CRM_1d_breakout,equity,1d,CRM,0.18168348070464527,,,-0.19588992690503537,0.3806818181818182,3.0368788650769085,-0.3165840856933719,5328,False
CSCO_1d_breakout,equity,1d,CSCO,-0.07125621907165514,,,-0.3873383431656878,0.38636363636363635,4.543743613997133,-0.08249444758646779,5328,False
CVX_1d_breakout,equity,1d,CVX,-0.13449141506507226,,,-0.44689549128606454,0.3181818181818182,4.783141211950356,-0.4835108315438749,5328,False
DBA_1d_breakout,equity,1d,DBA,-0.1098214701351355,,,-0.506820136099067,0.3352272727272727,9.152206703673226,-0.7799293283424449,5328,False
DBC_1d_breakout,equity,1d,DBC,0.3238911397168105,,,-0.3771832796446405,0.3409090909090909,7.008404620677217,-0.5736802329309197,5328,False
DIS_1d_breakout,equity,1d,DIS,0.2498385641350263,,,-0.2560246049111431,0.3977272727272727,4.331527283871964,-0.26560469816788757,5328,False
GDX_1d_breakout,equity,1d,GDX,0.021331176225142863,,,-0.4628953291515089,0.30113636363636365,2.8611478565805,-0.15144626130302136,5328,False
GE_1d_breakout,equity,1d,GE,0.13419926426319845,,,-0.45253425225378097,0.3522727272727273,4.21665053505684,-0.25278276349889406,5328,False
GLD_1d_breakout,equity,1d,GLD,0.22400459863648892,,,-0.3163876393530832,0.3465909090909091,7.0085253507126755,-0.4880977510688094,5328,False
GOOGL_1d_breakout,equity,1d,GOOGL,-0.003761415698214681,,,-0.34416270940983074,0.35795454545454547,3.8943394447118904,-0.35014813646155485,5328,False
GS_1d_breakout,equity,1d,GS,-0.062051551029425965,,,-0.41697442966478937,0.3409090909090909,4.439317782199524,-0.2688501665917903,5328,False
HD_1d_breakout,equity,1d,HD,0.1415254320346525,,,-0.2885742549395536,0.36363636363636365,4.527855759812229,-0.16442912812601568,5328,False
HON_1d_breakout,equity,1d,HON,-0.2790405005358451,,,-0.5994965714774445,0.3352272727272727,5.781054148047119,-0.28343885702099336,5328,False
HYG_1d_breakout,equity,1d,HYG,-0.29597820587654367,,,-0.5374103104310259,0.26704545454545453,16.483513155257324,-0.24167648314611292,5328,False
IBM_1d_breakout,equity,1d,IBM,-0.2845628274448145,,,-0.5466181163080122,0.30113636363636365,5.485355378362581,-0.1930523439722493,5328,False
IEF_1d_breakout,equity,1d,IEF,-0.08979786608274143,,,-0.30232260866115357,0.32386363636363635,17.682677375144024,-0.4549839760881829,5328,False
