sleeve,kind,tf,sym,sharpe,mc_p5,mc_p50,max_dd,months_in_profit,ann_turnover,placebo_sharpe,n_obs,robust
BTCUSDT_1d_breakout,crypto,1d,BTCUSDT,0.36507496002516293,,,-0.20592986969211613,0.3924050632911392,3.638217188185679,0.3878405687597996,2404,False
ETHUSDT_1d_breakout,crypto,1d,ETHUSDT,0.5340470773198627,-0.1205958188462003,0.5452589268089273,-0.22896963220017774,0.4050632911392405,2.728261781621527,-0.5550629635056881,2404,False
BNBUSDT_1d_breakout,crypto,1d,BNBUSDT,1.0506099127219026,0.47098971078726026,1.0792292588894705,-0.15622623113356227,0.46153846153846156,2.7533150823346673,-0.6232223267745629,2364,True
XRPUSDT_1d_breakout,crypto,1d,XRPUSDT,0.567770183210224,-0.12978225470040758,0.5598842345488619,-0.1606261841171417,0.31645569620253167,1.9984031458599627,0.04804811755548475,2399,False
SOLUSDT_1d_breakout,crypto,1d,SOLUSDT,0.10270351342048037,,,-0.3680716899143225,0.38028169014084506,2.18443479465034,0.26451883753249383,2147,False
TRXUSDT_1d_breakout,crypto,1d,TRXUSDT,0.327945243787779,,,-0.2610666749758618,0.4810126582278481,4.900476201714323,0.005431298092849323,2390,False
DOGEUSDT_1d_breakout,crypto,1d,DOGEUSDT,0.5504504466182333,-0.08630959080461761,0.5663882261728312,-0.2393242571008961,0.3698630136986301,2.3500667118085734,0.4779531059731913,2213,False
ZECUSDT_1d_breakout,crypto,1d,ZECUSDT,0.1654008410205242,,,-0.3231755862763903,0.3333333333333333,1.8102246450947608,0.3783959329667337,2369,False
ADAUSDT_1d_breakout,crypto,1d,ADAUSDT,0.6344023076193473,-0.06368008805688613,0.6630941130582628,-0.18541125914277323,0.4050632911392405,2.2944584807685713,-0.29143383900326375,2374,False
XMRUSDT_1d_breakout,crypto,1d,XMRUSDT,-0.0021629226938058104,,,-0.36321742038107363,0.358974358974359,2.9926040645317142,-0.41487366030579803,2371,False
LINKUSDT_1d_breakout,crypto,1d,LINKUSDT,0.20824449356448135,,,-0.21208668104385964,0.35443037974683544,1.9126553453663913,-0.28197512264805374,2388,False
XLMUSDT_1d_breakout,crypto,1d,XLMUSDT,0.24416177056092356,,,-0.22867043042000723,0.27848101265822783,2.511514458667697,-0.19774076750478461,2385,False
BCHUSDT_1d_breakout,crypto,1d,BCHUSDT,0.17083706460366166,,,-0.16076410436821564,0.3291139240506329,2.3352584740215714,-0.08372526882626453,2404,False
LTCUSDT_1d_breakout,crypto,1d,LTCUSDT,0.14167791362660306,,,-0.2916499136825993,0.4177215189873418,2.300744385874529,-0.7735853547385094,2396,False
HBARUSDT_1d_breakout,crypto,1d,HBARUSDT,0.19859385198973323,,,-0.2336482729819397,0.3384615384615385,2.0552380865900473,-0.512163456118261,1963,False
1000SHIBUSDT_1d_breakout,crypto,1d,1000SHIBUSDT,0.15869526480754248,,,-0.3132237187367367,0.30158730158730157,2.116717077255404,-0.7080139606770691,1909,False
AVAXUSDT_1d_breakout,crypto,1d,AVAXUSDT,0.6919408470504841,-0.023427195544860314,0.7005467606125084,-0.2779544460207203,0.352112676056338,2.127013715965772,-0.013811891693580849,2138,False
SUIUSDT_1d_breakout,crypto,1d,SUIUSDT,0.4085835509120746,,,-0.1602579837401903,0.48717948717948717,1.7931679369307132,-0.0369522722403476,1186,False
UNIUSDT_1d_breakout,crypto,1d,UNIUSDT,0.4023882001626635,,,-0.2346470283380776,0.39436619718309857,2.008635487325518,-0.6535027205596323,2143,False
NEARUSDT_1d_breakout,crypto,1d,NEARUSDT,0.3907451522409142,,,-0.3323076109911073,0.32857142857142857,1.8760395816503954,0.09740967277884684,2116,False
DOTUSDT_1d_breakout,crypto,1d,DOTUSDT,0.5383841557913808,-0.01937240736520768,0.5786090141735817,-0.21505623710444033,0.3888888888888889,2.0994464460928386,-0.34344971087710957,2170,False
AAVEUSDT_1d_breakout,crypto,1d,AAVEUSDT,-0.2079159382833486,,,-0.281697496428024,0.32857142857142857,2.0028786936371197,-0.7373332803130477,2115,False
1000PEPEUSDT_1d_breakout,crypto,1d,1000PEPEUSDT,0.7228823581833536,-0.16715052724983248,0.6940131478749015,-0.11797990919836021,0.2564102564102564,1.325452716913953,0.6264837283962092,1184,False
ICPUSDT_1d_breakout,crypto,1d,ICPUSDT,0.29948971498072124,,,-0.19211585750399462,0.36507936507936506,2.0171706259175837,-0.905138086854487,1908,False
