,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
perp LS 1d,,,,1.88,2.38,0.4,0.59,0.43,0.04,-0.43
perp LS 4h,,,,0.95,1.97,0.41,0.93,0.84,-0.23,-0.19
perp LS 1h,,,,1.43,-0.81,0.08,-0.24,0.94,0.09,-1.77
perp LS 1d+4h,,,,1.63,2.66,0.48,0.94,0.79,-0.13,-0.34
perp LO 1d,,,,1.97,2.47,-0.77,1.59,1.12,-0.5,-3.02
perp LO 4h,,,,1.68,2.97,-0.66,1.4,1.61,0.33,-2.62
perp LO 1h,,,,2.02,1.65,-1.57,1.04,1.62,0.13,-2.23
perp LO 1d+4h,,,,2.06,2.95,-0.88,1.7,1.51,-0.0,-3.17
spot LS 1d,,,,1.9,2.71,0.49,0.83,0.54,-0.03,-0.46
spot LS 4h,,,,1.29,2.3,0.38,0.9,0.88,-0.34,-0.31
spot LS 1h,,,,1.19,-0.98,-0.26,-0.78,0.61,-0.24,-2.29
spot LS 1d+4h,,,,1.89,3.02,0.52,1.07,0.89,-0.24,-0.43
spot LO 1d,,,,2.1,2.8,-0.79,1.85,1.34,-0.48,-3.05
spot LO 4h,,,,2.15,3.54,-0.65,1.44,1.82,0.38,-2.65
spot LO 1h,,,,2.06,1.74,-1.94,0.65,1.47,-0.09,-2.83
spot LO 1d+4h,,,,2.43,3.42,-0.88,1.87,1.75,0.05,-3.21
split LS 1d,,,,1.98,2.73,0.39,0.86,0.58,0.02,-0.4
split LS 4h,,,,1.05,2.35,0.39,1.0,0.99,-0.26,-0.24
split LS 1h,,,,1.27,-0.78,-0.03,-0.44,0.92,-0.01,-2.0
split LS 1d+4h,,,,1.77,3.06,0.47,1.15,0.98,-0.16,-0.36
spot LS 1d frozen-core10,2.56,0.55,1.46,1.16,2.71,0.49,0.83,0.54,-0.03,-0.46
spot LS 1d PIT-top10,2.76,0.73,0.47,1.26,1.89,0.38,0.82,0.35,0.09,-0.55
spot LS 1d+4h frozen-core10,2.47,1.17,1.22,1.72,3.02,0.52,1.07,0.89,-0.24,-0.43
spot LS 1d+4h PIT-top10,3.96,1.08,0.86,1.51,1.68,0.3,0.85,0.59,-0.2,-0.1
spot LO 1d frozen-core10,2.56,-0.49,2.12,1.99,2.8,-0.79,1.85,1.34,-0.48,-3.05
spot LO 1d PIT-top10,2.76,-0.09,1.14,1.87,1.92,-0.97,1.4,1.3,-0.04,-0.9
spot LO 1d+4h frozen-core10,3.88,-0.56,2.07,2.59,3.42,-0.88,1.87,1.75,0.05,-3.21
spot LO 1d+4h PIT-top10,4.7,-0.61,1.32,2.3,2.07,-1.62,1.45,1.53,0.33,-1.18
