tf,universe,n,sharpe,oos,mc_p5,max_dd,placebo
1d,all,418,0.38735860487047413,0.3607983533044771,-0.23850422738336352,-0.4318661716562465,-7.671975934805087
1d,crypto,416,0.3770292460173499,0.3386173642789212,-0.23614420902360625,-0.43186617165624763,-8.439837522047103
1d,core50,50,1.02932798766456,0.8698442394619401,0.38139513825892396,-0.19894484100378784,-2.9431184301191817
4h,all,243,0.3624339995625545,-0.09356865559420845,-0.3077053653597547,-0.47380374394994706,-5.73865666929947
4h,crypto,242,0.3600962731963032,-0.09235990088356114,-0.31308639680179773,-0.47380374394994773,-6.5984167599221255
4h,core50,50,1.1039804457934237,0.8564112930253919,0.4771906805242195,-0.23364088971485708,-3.07176357697615
1h,all,243,0.36388272522214987,0.1219191455353084,-0.26058999016529655,-0.45832621825904796,-6.6726194402133725
1h,crypto,242,0.36063983912380676,0.11826569193267988,-0.25826142100602856,-0.4611427409132559,-6.757592329813086
1h,core50,50,0.9507225971909592,0.8484597090484485,0.3721251420602199,-0.24555840832947562,-3.5314327926913385
15m,all,243,0.5717232914363088,0.030221626785126146,-0.07327641798647738,-0.3604611784132652,-7.426651046427318
15m,crypto,242,0.5711191892305486,0.026741411723945094,-0.07038085162704602,-0.36046117841326775,-7.329412798376762
15m,core50,50,0.9909316895267765,0.9194387955988402,0.3843073933418511,-0.28541618775365285,-3.9545736959317326
