tf,tier,n,sharpe,oos,mc_p5,max_dd
1d,10,10,0.6929833123367923,0.26249475749808915,0.06062081032973484,-0.1923120620932952
1d,15,15,0.9700990034338105,-0.02017981251379154,0.36650245386560704,-0.2345233475661357
1d,20,20,1.0158857737970028,0.07834043249579853,0.3956438583340377,-0.18911675164307706
1d,30,30,1.1953113592529783,0.27115703942689817,0.532616660073315,-0.15869043030293029
1d,50,50,0.9639756407696017,-0.11900534778330531,0.39935948543615013,-0.22120320850441844
1d,75,75,0.8312067471961462,-0.31499676076595,0.16739585992795095,-0.2483665768979857
1d,100,100,0.8753395872445469,-0.15521059316700353,0.2717665307803693,-0.2565923566218362
1d,150,150,0.823679046244068,0.4360999453766571,0.21464820375716595,-0.37351215364192347
1d,200,200,0.6807771412215448,0.3334740581529828,0.01259822435277361,-0.40025217362483534
1d,300,300,0.44318663394426894,0.24337093739868543,-0.15693393584302565,-0.45237336876938916
4h,10,10,0.34630719349455735,0.17165953383637042,-0.28523110494716236,-0.287650481210716
4h,15,15,0.8662718452652479,-0.06114802564456596,0.21740383437436245,-0.2299547783168997
4h,20,20,1.5287178450222627,0.1825828609145721,0.8917490304939528,-0.1812061144234064
4h,30,30,1.455474126562261,0.5147767196665308,0.7928905963470054,-0.17384786346592984
4h,50,50,1.2459392273172518,0.22619663196678663,0.6305389031921285,-0.207021001136367
4h,75,75,1.1783504599850199,0.2805895343409211,0.5194800434939778,-0.229927778718084
4h,100,100,0.9313746585145227,0.1225789793789222,0.269537719086367,-0.30400999609950174
4h,150,150,0.6427104019631741,0.09140942405605645,0.015077761966173518,-0.4038870659672459
4h,200,200,0.40461851930304643,-0.026851424715302236,-0.30163450468585923,-0.49270419853390346
4h,300,236,0.4061112001228025,-0.14925207273653363,-0.2697211148883352,-0.48018040685665286
1h,10,10,0.6473939345247904,0.4856333975812226,0.03288561706919212,-0.2218994322991713
1h,15,15,1.158461219399565,0.357938737557746,0.5117163165696759,-0.1934092896901629
1h,20,20,1.6451949021636278,0.6074751922351285,1.0124667407651615,-0.19129609823362437
1h,30,30,1.6903582310334924,0.6408656065696148,1.0787211896822135,-0.1482742183685838
1h,50,50,1.1121772076281027,0.34109132161758543,0.5469810331208048,-0.19290237965884827
1h,75,75,1.0343466154801306,0.3028372599357504,0.37820960188801006,-0.22165703839880468
1h,100,100,0.827673089701453,0.32354525888041574,0.19109753637311125,-0.2900018058078938
1h,150,150,0.6500009485078984,0.2656679644147712,-0.00844935034933911,-0.37413133221224293
1h,200,200,0.34044961899662096,0.19238845114072195,-0.3592686903983431,-0.5117524963253743
1h,300,236,0.3091494188174839,0.09314895177973509,-0.29547819459006036,-0.4888234598551233
