variant,sharpe_voltgt,mc_p5,raw_ret_%,raw_vol_%,ann_funding_%,ann_cost_%,ann_turnover,max_dd_voltgt,skew,months+
naive gate0.0,-1.54,-6.3,-2.3,2.5,16.2,18.4,115,-0.95,2.15,0.35
naive gate0.0001,-3.45,-7.94,-8.6,2.9,17.1,25.6,160,-0.99,1.65,0.33
hold e5e-05_s7_r7,4.75,2.51,12.0,2.6,14.7,2.4,15,-0.14,-5.65,0.78
hold e5e-05_s14_r7,5.65,3.48,12.6,2.3,14.6,1.6,10,-0.07,0.08,0.86
hold e5e-05_s7_r14,4.99,2.81,12.2,2.5,14.0,1.6,10,-0.14,-5.8,0.85
hold e1e-04_s7_r7,4.99,2.8,12.4,2.5,14.8,2.0,12,-0.14,-5.67,0.85
hold e1e-04_s14_r7,5.87,3.73,12.8,2.2,14.6,1.3,8,-0.06,2.32,0.89
hold e1e-04_s7_r14,5.1,2.94,12.4,2.5,14.1,1.5,9,-0.14,-5.8,0.86
hold e2e-04_s7_r7,5.87,3.77,12.8,2.2,14.6,1.4,9,-0.07,0.15,0.89
hold e2e-04_s14_r7,6.21,4.2,13.5,2.2,14.6,0.8,5,-0.05,3.08,0.9
hold e2e-04_s7_r14,5.78,3.63,12.4,2.2,13.8,1.2,7,-0.07,0.11,0.87
