sleeve,class,own_live,vix_live,override_days,override_share,pnl_on_override,pnl_own_live
VIX,eq_index,0.6034990791896869,0.7985267034990792,262,0.048250460405156535,0.6657,17.1009
VXN,eq_index,0.4499079189686924,0.7985267034990792,273,0.05027624309392265,0.6041,11.3806
RVX,eq_index,0.46271404897808877,0.7985638004050819,275,0.050635242128521454,0.4553,10.8639
VXD,eq_index,0.475787147854907,0.7985638004050819,261,0.04805744798379672,0.8151,14.3752
VXEFA,eq_index,0.5192413920088381,0.7985638004050819,301,0.05542257411158166,0.4101,7.933
VXAPL,single,0.3725598526703499,0.7985267034990792,377,0.06942909760589319,0.3581,4.5098
VXAZN,single,0.3861878453038674,0.7985267034990792,408,0.07513812154696133,0.7976,4.355
VXGOG,single,0.37274401473296503,0.7985267034990792,373,0.06869244935543278,0.1231,3.0943
VXGS,single,0.3979742173112339,0.7985267034990792,297,0.054696132596685085,0.2205,5.094
VXIBM,single,0.39042357274401474,0.7985267034990792,417,0.07679558011049724,0.3538,4.0642
VXEEM,intl,0.47487705794312596,0.7660893735300406,273,0.058370750481077614,0.7602,8.4738
VXEWZ,intl,0.41705026698582215,0.7985638004050819,413,0.07604492726937949,0.6018,7.3998
VXFXI,intl,0.28613515006444484,0.7985638004050819,207,0.03811452771128706,0.1958,3.0777
OVX,commodity,0.4842496576012522,0.7859518685188809,432,0.08452357659949129,0.9328,8.5113
GVZ,commodity,0.4662983425414365,0.7985267034990792,412,0.07587476979742173,0.396,6.5291
VXSLV,commodity,0.3432718713220871,0.7854060415849353,342,0.06708513142408788,0.4533,3.6105
VXGDX,commodity,0.33412042502951594,0.7847304210940574,277,0.05450609996064541,0.6535,5.4929
VXTLT,rates,0.5850828729281768,0.7985267034990792,388,0.0714548802946593,0.6214,7.8483
