window,family,contrib_pp,standalone_pct,beta_crypto,t_beta,alpha_bps_day,t_alpha
2011,volprem,67.329,141.84,,,,
2011,crisis,-8.769,-18.45,,,,
2011,gmacro,1.202,5.08,,,,
2012,volprem,68.979,390.76,,,,
2012,xs_momentum,5.019,6.4,,,,
2012,crisis,4.252,19.03,,,,
2012,gmacro,3.931,9.41,,,,
2013,volprem,86.207,238.84,,,,
2013,xs_momentum,3.759,10.01,,,,
2013,crisis,0.253,2.01,,,,
2013,gmacro,5.141,16.42,,,,
2014,volprem,58.455,200.11,,,,
2014,xs_momentum,-1.36,-0.86,,,,
2014,crisis,-0.348,3.18,,,,
2014,gmacro,11.704,44.99,,,,
2015,volprem,83.474,299.42,,,,
2015,xs_momentum,21.256,41.48,,,,
2015,crisis,1.018,6.36,,,,
2015,gmacro,4.239,22.97,,,,
2016,volprem,79.964,202.79,,,,
2016,xs_momentum,-10.552,-18.65,,,,
2016,crisis,1.041,1.79,,,,
2016,gmacro,-0.297,-5.45,,,,
2017,volprem,89.491,461.13,-0.0385,-1.96,78.7,6.79
2017,xs_momentum,13.818,21.98,0.0036,0.25,4.75,0.57
2017,crisis,0.101,-1.56,0.0407,2.96,1.78,0.23
2017,gmacro,0.351,-2.1,-0.0142,-1.06,13.64,1.77
2018,volprem,30.268,83.59,-0.013,-1.5,24.09,4.62
2018,xs_momentum,5.434,12.31,-0.0028,-0.36,3.97,0.88
2018,crisis,-0.57,4.84,-0.0304,-4.0,0.63,0.15
2018,gmacro,12.88,59.89,0.0119,1.19,15.97,2.8
2019,volprem,91.207,393.35,0.0089,0.49,64.23,9.16
2019,xs_momentum,-0.905,0.08,0.0048,0.4,0.41,0.09
2019,crisis,1.68,2.67,0.0273,1.87,1.58,0.28
2019,gmacro,-3.667,-7.87,0.0104,0.76,-2.07,-0.39
2020,volprem,13.129,82.02,0.0025,0.21,24.06,3.76
2020,xs_momentum,12.971,51.79,-0.0168,-1.77,12.57,2.7
2020,breakout,27.908,93.23,0.0055,0.34,18.76,2.36
2020,crisis,1.488,-1.3,0.0407,3.2,-1.47,-0.23
2020,gmacro,0.418,13.11,0.0122,1.02,4.01,0.66
2020,bab,-8.852,14.71,0.0073,0.46,4.67,0.59
2021,volprem,37.195,290.74,0.0247,2.59,52.84,8.39
2021,xs_momentum,2.84,12.74,0.005,0.7,3.22,0.75
2021,breakout,13.969,48.47,0.0056,0.79,10.71,2.53
2021,crisis,2.129,22.64,0.0359,4.89,3.11,0.71
2021,gmacro,0.754,4.42,0.0104,1.38,0.9,0.19
2021,bab,8.649,37.2,0.0646,8.52,3.99,0.88
2022,volprem,23.747,89.37,0.0233,1.64,27.12,3.67
2022,xs_momentum,-1.228,0.33,-0.0326,-3.57,-0.56,-0.13
2022,breakout,5.251,18.44,-0.1015,-13.02,1.89,0.51
2022,crisis,4.798,23.75,-0.0561,-6.7,4.44,1.12
2022,gmacro,4.929,29.76,-0.0245,-2.19,7.91,1.42
2022,bab,4.271,18.76,0.0574,6.58,6.82,1.65
2023,volprem,46.813,359.92,-0.0144,-0.8,62.02,9.92
2023,xs_momentum,4.186,13.26,-0.0117,-0.87,4.11,0.95
2023,breakout,6.889,19.54,-0.0508,-3.67,6.84,1.53
2023,crisis,5.983,32.02,0.0168,0.96,7.66,1.35
2023,gmacro,2.304,11.96,0.0181,1.18,3.48,0.68
2023,bab,5.108,21.45,0.0867,5.6,3.12,0.63
2024,volprem,36.36,103.63,0.0171,1.96,28.42,7.5
2024,xs_momentum,6.333,27.8,0.0001,0.01,7.02,1.69
2024,breakout,7.156,21.35,-0.0297,-2.9,6.02,1.41
2024,crisis,0.822,10.88,0.0105,0.99,3.04,0.68
2024,gmacro,1.543,8.31,-0.0112,-1.01,2.91,0.62
2024,bab,11.674,63.63,0.0595,5.78,13.05,3.03
2025,volprem,48.488,282.33,0.0082,0.58,54.53,8.51
2025,xs_momentum,9.943,29.04,-0.0934,-10.21,5.09,1.3
2025,breakout,6.8,15.26,-0.1383,-18.1,0.92,0.28
2025,crisis,-0.339,-9.79,-0.0254,-1.99,-2.88,-0.53
2025,gmacro,4.565,24.64,0.0001,0.01,6.95,1.37
2025,bab,7.459,33.24,0.0451,4.62,9.29,2.22
2026,volprem,13.496,33.62,0.0494,1.69,19.66,2.12
2026,xs_momentum,2.191,7.32,-0.0541,-2.79,2.47,0.43
2026,breakout,-0.982,-7.4,-0.2024,-15.27,-7.45,-1.9
2026,crisis,-2.011,-5.32,-0.0648,-3.37,-3.4,-0.6
2026,gmacro,1.871,15.75,-0.0116,-0.6,7.18,1.26
2026,bab,1.375,-3.04,0.1154,3.66,1.82,0.2
