date,contrib_volprem,contrib_xs_momentum,contrib_breakout,contrib_crisis,contrib_trend,contrib_bab,book_ret,gross_exposure,book_pnl_usd,equity_usd
2024-07-01,0.000284,0.000897,0.001845,0.001167,0.000353,-0.000837,0.003785,1.15,1892.273956,501892.273956
2024-07-02,0.001377,-0.000437,-0.000927,0.000468,0.000763,0.000101,0.001321,1.15,660.518672,502555.292392
2024-07-03,0.001017,-3.4e-05,-0.000111,0.00261,-0.000742,0.000857,0.002131,1.15,1065.633647,503626.37205
2024-07-04,0.0,-0.000681,-0.000583,0.003566,-0.001655,-0.001612,-0.004789,1.15,-2394.564935,501214.439948
2024-07-05,0.000917,-0.000511,0.002054,0.000789,0.000752,-0.002073,0.00175,1.15,875.180316,502091.745971
2024-07-06,0.0,0.001346,-0.002918,-0.003564,0.001075,2.9e-05,-0.001796,1.15,-897.830254,501190.159652
2024-07-07,0.0,-0.001473,0.000547,0.002291,-0.001498,-0.000688,-0.00335,1.15,-1674.893951,499511.278918
2024-07-08,0.000527,-0.00076,-0.000178,-0.000703,0.001156,0.000263,0.00109,1.15,545.033061,500055.779241
2024-07-09,0.000806,0.000312,-0.002106,-6.2e-05,0.000179,0.000342,-0.000634,1.15,-317.176919,499738.566938
2024-07-10,0.001129,0.001636,-0.000459,0.001519,0.001255,-0.000355,0.004707,1.15,2353.509438,502090.845806
2024-07-11,-0.001223,-0.002073,0.000743,-0.000779,-0.001138,0.003065,-0.001081,1.15,-540.578075,501548.0072
2024-07-12,0.00039,0.000367,-0.001376,0.00069,0.000958,0.002567,0.00402,1.15,2010.006811,503564.237021
2024-07-13,0.0,-0.003137,0.000203,-0.000749,0.000323,0.003124,0.000375,1.15,187.457629,503753.030937
2024-07-14,0.0,0.002468,-0.000229,-0.000409,0.000611,-0.001536,0.001554,1.15,776.856461,504535.718531
2024-07-15,0.000285,0.002044,-0.004479,-0.00067,0.002301,-0.000806,-0.001105,1.15,-552.488705,503978.21796
2024-07-16,0.000169,-0.001544,-0.001783,0.002409,0.0008,-0.000667,-0.003212,1.15,-1605.796967,502359.644572
2024-07-17,-0.00118,-0.004226,-0.000922,-0.001504,-0.002497,0.002003,-0.009464,1.15,-4732.226311,497605.085517
2024-07-18,-0.001595,0.000451,0.000184,-0.000865,-0.000608,-0.002093,-0.005178,1.15,-2588.754515,495028.730694
2024-07-19,-0.000197,0.001275,-0.000789,-0.001169,0.000539,-0.00085,-0.001199,1.15,-599.309862,494435.379494
2024-07-20,0.0,-0.000787,-0.000903,-6.6e-05,0.000305,0.001021,-0.000498,1.15,-249.23256,494188.920703
2024-07-21,0.0,-1e-06,-0.000183,-3.3e-05,0.001038,-0.000145,0.000815,1.15,407.653252,494591.836144
2024-07-22,0.000181,0.001402,0.001582,-0.000193,0.000479,0.001785,0.006307,1.15,3153.697529,497711.422246
2024-07-23,0.000102,0.000716,0.001738,-0.000143,-0.000756,0.001061,0.003437,1.15,1718.447007,499422.003654
2024-07-24,3.3e-05,-0.000587,-7e-05,-0.001056,-0.003591,-0.001617,-0.007991,1.15,-3995.358313,495431.263946
2024-07-25,-0.000969,0.000392,0.000263,0.000163,-0.001766,-0.001346,-0.003958,1.15,-1979.038471,493470.308885
2024-07-26,9e-05,0.000264,-0.002397,0.000862,0.002724,-0.001631,-0.000141,1.15,-70.343817,493400.883714
2024-07-27,0.0,-0.000813,-4.9e-05,-4e-05,-0.00037,-0.000256,-0.001918,1.15,-959.083645,492454.458278
2024-07-28,0.0,0.001527,0.000774,0.000134,-4.8e-05,0.000844,0.003874,1.15,1937.091009,494362.316485
2024-07-29,0.0,-0.000247,0.000127,0.000563,-0.000267,-0.000513,-0.000636,1.15,-318.224523,494047.68006
2024-07-30,0.0,-0.000733,0.000323,0.001638,-0.001241,0.0011,0.00089,1.15,444.907049,494487.29065
2024-07-31,0.0,0.001202,0.000584,0.000431,0.00095,0.000701,0.004435,1.15,2217.737756,496680.57692
2024-08-01,0.0,-0.000137,0.000286,0.002514,-0.002957,0.000467,-0.000481,1.15,-240.533358,496441.640425
2024-08-02,0.0,-0.000574,-0.001054,0.002128,-0.004193,-0.002857,-0.008139,1.15,-4069.615632,492400.987105
2024-08-03,0.0,0.000559,0.002329,0.000216,-0.000838,0.001521,0.004236,1.15,2118.036133,494486.83327
2024-08-04,0.0,-0.000606,1.7e-05,0.000855,-0.001602,-0.002136,-0.003841,1.15,-1920.270569,492587.736245
2024-08-05,0.0,0.001831,-0.00058,0.000972,-0.004717,-0.003443,-0.006607,1.15,-3303.625918,489333.085021
2024-08-06,0.0,4.6e-05,-0.001902,-0.000905,0.00141,-0.000985,-0.003077,1.15,-1538.289985,487827.612653
2024-08-07,0.0,0.000589,0.000687,-0.00253,0.000136,0.00245,0.000383,1.15,191.482912,488014.433956
2024-08-08,0.0,0.000857,-0.002647,-0.001678,0.003667,0.002366,0.002152,1.15,1076.183223,489064.819849
2024-08-09,0.0,0.001187,3.8e-05,1.3e-05,-0.000219,-0.000956,1.1e-05,1.15,5.25335,489069.958307
2024-08-10,0.0,-0.000418,-0.000206,-4.4e-05,8.8e-05,0.000851,0.000296,1.15,148.218832,489214.937062
2024-08-11,0.0,-0.000382,0.001409,0.00049,-0.000793,9.8e-05,0.000876,1.15,437.811971,489643.305374
