date,sleeve,side,delta_weight,weight_after,notional_usd
2024-07-02,volprem,buy,0.01354,0.53712,6770.8
2024-07-02,xs_momentum,buy,4e-05,0.25387,19.04
2024-07-03,volprem,sell,-0.00501,0.53211,2504.87
2024-07-03,xs_momentum,buy,0.00564,0.2595,2818.59
2024-07-04,xs_momentum,buy,0.00442,0.26392,2209.31
2024-07-05,volprem,sell,-0.00296,0.52916,1477.96
2024-07-05,xs_momentum,buy,0.00021,0.26414,106.32
2024-07-06,xs_momentum,buy,0.00109,0.26523,547.18
2024-07-07,xs_momentum,sell,-0.00196,0.26327,978.74
2024-07-08,volprem,sell,-0.00161,0.52754,807.05
2024-07-08,xs_momentum,buy,0.00121,0.26448,606.12
2024-07-09,volprem,buy,0.02875,0.55629,14372.7
2024-07-09,xs_momentum,buy,5e-05,0.26454,25.94
2024-07-10,volprem,sell,-0.00061,0.55568,304.62
2024-07-10,xs_momentum,buy,0.00161,0.26615,804.95
2024-07-11,volprem,sell,-0.00332,0.55236,1660.53
2024-07-11,xs_momentum,sell,-0.00585,0.26029,2925.79
2024-07-12,volprem,sell,-0.01127,0.54108,5636.26
2024-07-12,xs_momentum,sell,-7e-05,0.26023,34.51
2024-07-13,xs_momentum,buy,0.00433,0.26456,2165.93
2024-07-14,xs_momentum,sell,-0.00354,0.26102,1769.41
2024-07-15,volprem,buy,0.00058,0.54167,291.17
2024-07-15,xs_momentum,buy,0.00155,0.26256,772.53
2024-07-16,volprem,buy,0.00026,0.54193,130.51
2024-07-16,xs_momentum,sell,-0.00021,0.26235,105.13
2024-07-17,volprem,buy,0.0,0.54193,0.85
2024-07-17,xs_momentum,buy,0.00736,0.26971,3679.02
2024-07-18,volprem,sell,-0.00188,0.54004,941.85
2024-07-18,xs_momentum,buy,0.00084,0.27056,421.75
2024-07-19,volprem,sell,-0.00442,0.53562,2211.01
2024-07-19,xs_momentum,buy,0.00038,0.27093,189.53
2024-07-20,xs_momentum,buy,0.01272,0.28365,6359.33
2024-07-21,xs_momentum,buy,0.00121,0.28486,605.18
2024-07-22,volprem,buy,0.00045,0.53607,222.84
2024-07-22,xs_momentum,buy,0.01527,0.30013,7634.26
2024-07-23,volprem,sell,-8e-05,0.53599,37.7
2024-07-23,xs_momentum,buy,0.00309,0.30322,1544.36
2024-07-24,volprem,buy,0.00064,0.53663,317.67
2024-07-24,xs_momentum,sell,-0.00831,0.29491,4153.21
2024-07-25,volprem,sell,-0.00036,0.53627,179.4
2024-07-25,xs_momentum,sell,-0.00433,0.29059,2163.58
2024-07-26,volprem,buy,7e-05,0.53634,36.27
2024-07-26,xs_momentum,sell,-0.00258,0.28801,1288.77
2024-07-27,xs_momentum,buy,0.00208,0.29009,1041.83
2024-07-28,xs_momentum,buy,0.00731,0.29741,3656.51
2024-07-29,volprem,buy,0.00016,0.5365,78.53
2024-07-29,xs_momentum,buy,0.00057,0.29798,284.62
2024-07-30,volprem,buy,0.0,0.5365,0.81
2024-07-30,xs_momentum,buy,0.00288,0.30086,1440.79
2024-07-31,xs_momentum,buy,0.00041,0.30126,202.64
2024-08-01,volprem,sell,-1e-05,0.53649,3.44
2024-08-01,xs_momentum,buy,0.00042,0.30168,208.13
2024-08-02,volprem,buy,0.0,0.5365,1.25
2024-08-02,xs_momentum,buy,0.0108,0.31248,5401.23
2024-08-03,xs_momentum,buy,0.00017,0.31265,86.91
2024-08-04,xs_momentum,sell,-0.00186,0.3108,929.12
2024-08-05,volprem,buy,0.00149,0.53799,747.5
2024-08-05,xs_momentum,sell,-6e-05,0.31073,31.31
2024-08-06,volprem,buy,0.00302,0.54101,1512.1
2024-08-06,xs_momentum,sell,-0.00846,0.30227,4231.59
2024-08-06,trend_momentum,sell,-0.03512,0.58988,17560.48
2024-08-07,volprem,buy,0.00977,0.55078,4884.63
2024-08-07,xs_momentum,sell,-0.01311,0.28916,6557.16
2024-08-07,trend_momentum,sell,-0.00059,0.58929,294.71
2024-08-08,volprem,buy,0.01303,0.56382,6516.94
2024-08-08,xs_momentum,buy,1e-05,0.28917,6.73
2024-08-08,trend_momentum,sell,-0.00017,0.58912,87.08
2024-08-09,volprem,buy,0.01191,0.57572,5953.05
2024-08-09,xs_momentum,sell,-0.0002,0.28897,101.27
2024-08-09,trend_momentum,sell,-0.04007,0.54905,20034.83
2024-08-10,xs_momentum,sell,-3e-05,0.28893,17.01
2024-08-10,trend_momentum,buy,0.00173,0.55078,866.02
2024-08-11,xs_momentum,buy,0.00075,0.28968,374.69
2024-08-11,trend_momentum,buy,0.00051,0.55128,253.1
2024-08-12,volprem,buy,0.0205,0.59622,10249.16
2024-08-12,xs_momentum,sell,-4e-05,0.28964,20.37
2024-08-12,trend_momentum,buy,0.00787,0.55915,3934.85
2024-08-13,volprem,buy,0.0,0.59623,1.37
2024-08-13,xs_momentum,sell,-0.00188,0.28777,938.22
2024-08-13,trend_momentum,buy,0.00049,0.55964,243.53
2024-08-14,volprem,buy,0.00817,0.6044,4086.72
2024-08-14,xs_momentum,buy,0.00355,0.29131,1774.4
2024-08-14,trend_momentum,sell,-0.0079,0.55174,3951.08
2024-08-15,volprem,buy,0.0206,0.625,10300.68
2024-08-15,xs_momentum,sell,-0.00013,0.29118,66.67
2024-08-15,trend_momentum,buy,0.00045,0.55219,223.39
2024-08-16,xs_momentum,sell,-0.00187,0.28931,933.06
2024-08-16,trend_momentum,sell,-0.00285,0.54933,1427.32
2024-08-17,xs_momentum,buy,0.00177,0.29109,886.62
2024-08-17,trend_momentum,buy,0.00079,0.55012,394.88
2024-08-18,xs_momentum,sell,-0.00069,0.2904,342.59
2024-08-18,trend_momentum,buy,0.00073,0.55085,363.44
2024-08-19,xs_momentum,buy,0.01556,0.30596,7780.67
2024-08-19,trend_momentum,buy,4e-05,0.55089,19.89
2024-08-20,xs_momentum,sell,-0.00047,0.30549,236.91
2024-08-20,trend_momentum,sell,-0.00364,0.54725,1820.31
2024-08-21,xs_momentum,buy,0.00076,0.30625,380.43
2024-08-21,trend_momentum,buy,2e-05,0.54727,12.2
2024-08-22,xs_momentum,buy,0.00492,0.31117,2458.43
2024-08-22,trend_momentum,sell,-0.00108,0.54619,538.3
2024-08-23,xs_momentum,sell,-0.00054,0.31063,268.03
2024-08-23,trend_momentum,sell,-0.00318,0.54301,1589.75
2024-08-24,xs_momentum,buy,0.01258,0.32321,6287.63
2024-08-24,trend_momentum,sell,-0.00892,0.53409,4462.26
2024-08-25,xs_momentum,buy,0.00518,0.32839,2591.24
2024-08-25,trend_momentum,buy,0.00333,0.53742,1665.97
2024-08-26,xs_momentum,sell,-0.00101,0.32738,504.78
2024-08-26,trend_momentum,sell,-7e-05,0.53735,36.38
2024-08-27,xs_momentum,sell,-0.00696,0.32042,3479.55
2024-08-27,trend_momentum,sell,-0.00204,0.53531,1020.91
2024-08-28,xs_momentum,sell,-0.00168,0.31874,838.17
2024-08-28,trend_momentum,sell,-0.00485,0.53046,2426.09
2024-08-29,xs_momentum,sell,-0.00072,0.31803,357.52
2024-08-29,trend_momentum,sell,-0.00023,0.53022,115.34
2024-08-30,xs_momentum,buy,9e-05,0.31812,45.76
2024-08-30,trend_momentum,buy,0.00103,0.53125,513.93
2024-08-31,xs_momentum,sell,-0.00232,0.31581,1157.78
2024-08-31,trend_momentum,sell,-0.00037,0.53088,186.92
2024-09-01,xs_momentum,buy,0.00136,0.31716,679.07
2024-09-01,trend_momentum,buy,0.00111,0.53199,553.17
2024-09-02,xs_momentum,sell,-0.00625,0.31091,3126.7
2024-09-02,trend_momentum,buy,0.00027,0.53226,135.73
2024-09-03,xs_momentum,sell,-0.00236,0.30855,1179.61
2024-09-03,trend_momentum,buy,0.00502,0.53728,2512.09
2024-09-04,xs_momentum,sell,-0.00168,0.30687,839.43
2024-09-04,trend_momentum,sell,-0.01106,0.52622,5531.87
2024-09-05,xs_momentum,buy,0.00252,0.30939,1258.22
2024-09-05,trend_momentum,buy,0.00361,0.52983,1805.73
2024-09-06,xs_momentum,sell,-0.0,0.30939,1.2
2024-09-06,trend_momentum,buy,0.00363,0.53346,1815.33
2024-09-07,xs_momentum,buy,0.00072,0.3101,358.01
2024-09-07,trend_momentum,sell,-0.0039,0.52956,1947.5
2024-09-08,xs_momentum,sell,-0.00472,0.30538,2361.58
2024-09-08,trend_momentum,sell,-0.00012,0.52944,60.87
