asset,form_lb,beta_lb,top_frac,sharpe
crypto,15,60,0.1,1.01
crypto,15,60,0.2,0.484
crypto,15,60,0.3,0.45
crypto,15,90,0.1,0.747
crypto,15,90,0.2,0.396
crypto,15,90,0.3,0.364
crypto,15,180,0.1,0.377
crypto,15,180,0.2,0.031
crypto,15,180,0.3,0.185
crypto,30,60,0.1,1.017
crypto,30,60,0.2,0.784
crypto,30,60,0.3,0.678
crypto,30,90,0.1,0.64
crypto,30,90,0.2,0.516
crypto,30,90,0.3,0.608
crypto,30,180,0.1,0.498
crypto,30,180,0.2,0.17
crypto,30,180,0.3,0.251
crypto,45,60,0.1,0.776
crypto,45,60,0.2,0.338
crypto,45,60,0.3,0.409
crypto,45,90,0.1,0.794
crypto,45,90,0.2,0.114
crypto,45,90,0.3,0.256
crypto,45,180,0.1,0.122
crypto,45,180,0.2,-0.537
crypto,45,180,0.3,-0.447
crypto,90,60,0.1,0.596
crypto,90,60,0.2,0.431
crypto,90,60,0.3,0.244
crypto,90,90,0.1,0.618
crypto,90,90,0.2,0.282
crypto,90,90,0.3,0.085
crypto,90,180,0.1,0.646
crypto,90,180,0.2,0.244
crypto,90,180,0.3,0.126
equity,126,504,0.1,0.44
equity,126,504,0.2,0.411
equity,126,504,0.3,0.404
equity,126,756,0.1,0.494
equity,126,756,0.2,0.351
equity,126,756,0.3,0.415
equity,126,1008,0.1,0.387
equity,126,1008,0.2,0.262
equity,126,1008,0.3,0.295
equity,252,504,0.1,0.487
equity,252,504,0.2,0.435
equity,252,504,0.3,0.362
equity,252,756,0.1,0.409
equity,252,756,0.2,0.41
equity,252,756,0.3,0.369
equity,252,1008,0.1,0.257
equity,252,1008,0.2,0.285
equity,252,1008,0.3,0.227
equity,378,504,0.1,0.569
equity,378,504,0.2,0.452
equity,378,504,0.3,0.304
equity,378,756,0.1,0.407
equity,378,756,0.2,0.428
equity,378,756,0.3,0.26
equity,378,1008,0.1,0.422
equity,378,1008,0.2,0.41
equity,378,1008,0.3,0.241
fx,45,180,0.1,0.103
fx,45,180,0.2,-0.077
fx,45,180,0.3,-0.067
fx,45,250,0.1,0.166
fx,45,250,0.2,-0.163
fx,45,250,0.3,-0.098
fx,45,500,0.1,0.184
fx,45,500,0.2,-0.099
fx,45,500,0.3,-0.06
fx,90,180,0.1,-0.096
fx,90,180,0.2,0.063
fx,90,180,0.3,0.001
fx,90,250,0.1,-0.228
fx,90,250,0.2,0.054
fx,90,250,0.3,-0.035
fx,90,500,0.1,-0.229
fx,90,500,0.2,0.025
fx,90,500,0.3,0.014
fx,180,180,0.1,0.124
fx,180,180,0.2,0.153
fx,180,180,0.3,0.047
fx,180,250,0.1,0.056
fx,180,250,0.2,0.127
fx,180,250,0.3,0.053
fx,180,500,0.1,0.187
fx,180,500,0.2,0.076
fx,180,500,0.3,0.036
