stage,model,sharpe,max_dd,months_in_profit,mc_p5,turnover,active_frac
rule,idio_mom,0.573,-0.357,0.544,,,
LTR-raw-feats,ridge,-0.171,-0.5,,,25.5,
LTR-raw-feats,histgb,0.295,-0.34,,,32.7,
LTR-raw-feats,lgbm,0.149,-0.322,,,32.5,
LTR-raw-feats,ENSEMBLE,0.118,-0.294,,,,
LTR-raw+resid-feats,ridge,-0.162,-0.489,,,28.5,
LTR-raw+resid-feats,histgb,0.553,-0.221,,-0.101,33.1,
LTR-raw+resid-feats,lgbm,0.633,-0.257,,-0.06,32.9,
LTR-raw+resid-feats,ENSEMBLE,0.436,-0.199,,,,
meta-gate,p>0.5,0.068,-0.287,,,,0.49
meta-gate,p>0.55,0.157,-0.209,,,,0.347
meta-gate,p>0.6,0.332,-0.122,,,,0.198
