stage,model,sharpe,max_dd,months_in_profit,mc_p5,turnover,active_frac
rule,idio_mom,0.38,-0.342,0.435,,,
LTR-raw-feats,ridge,0.224,-0.239,,,0.8,
LTR-raw-feats,rf,-0.373,-0.412,,,0.8,
LTR-raw-feats,histgb,-0.071,-0.302,,,0.8,
LTR-raw-feats,lgbm,-0.027,-0.252,,,0.8,
LTR-raw-feats,ENSEMBLE,-0.078,-0.235,,,,
LTR-raw+resid-feats,ridge,0.11,-0.209,,,0.8,
LTR-raw+resid-feats,rf,0.222,-0.116,,,0.8,
LTR-raw+resid-feats,histgb,0.076,-0.163,,,0.8,
LTR-raw+resid-feats,lgbm,0.313,-0.112,,,0.8,
LTR-raw+resid-feats,ENSEMBLE,0.379,-0.081,,,,
meta-gate,p>0.5,0.289,-0.342,,,,0.679
meta-gate,p>0.55,0.197,-0.274,,,,0.531
meta-gate,p>0.6,0.127,-0.257,,,,0.163
