sweep,asset,cell,raw_sharpe,resid_sharpe,raw_beta,resid_beta,resid_1st,resid_2nd
universe,crypto,top10,0.54,0.11,0.009,0.021,,
universe,crypto,top25,0.34,0.16,0.0,0.005,,
universe,crypto,top50,0.14,0.33,-0.002,0.003,,
universe,crypto,top100,0.42,0.57,-0.005,-0.001,,
universe,crypto,top200,0.22,0.27,-0.006,-0.005,,
universe,crypto,topall,0.22,0.18,-0.005,-0.008,,
universe,equity,top10,0.14,-0.17,0.092,0.082,,
universe,equity,top25,0.34,0.17,0.02,0.001,,
universe,equity,top50,0.41,0.47,-0.033,-0.028,,
universe,equity,top100,0.52,0.38,-0.053,-0.061,,
universe,equity,top200,0.54,0.46,-0.094,-0.104,,
universe,equity,topall,0.51,0.64,-0.123,-0.125,,
timeframe,crypto,1d,0.42,0.57,-0.005,-0.001,0.37,0.77
timeframe,crypto,4h,0.2,0.44,0.001,0.003,0.98,-0.07
timeframe,crypto,1h,0.54,0.5,0.005,0.006,1.07,-0.02
timeframe,crypto,15m,0.51,0.55,0.006,0.01,0.83,0.29
timeframe,fx,1d,-0.02,0.09,0.385,-0.137,0.09,0.1
timeframe,fx,4h,0.12,-0.13,0.346,-0.253,0.01,-0.25
timeframe,fx,1h,-0.35,-0.28,0.336,-0.27,0.03,-0.53
skip,crypto,sk0,,0.57,,,,
skip,crypto,sk1,,0.37,,,,
skip,crypto,sk2,,0.45,,,,
skip,crypto,sk5,,0.55,,,,
weighting,crypto,equal,,0.57,,,,
weighting,crypto,rank,,0.56,,,,
weighting,crypto,volinv,,0.61,,,,
rebal,crypto,rb5,,0.95,,,,
rebal,crypto,rb10,,0.52,,,,
rebal,crypto,rb21,,0.57,,,,
rebal,crypto,rb42,,0.11,,,,
rebal,crypto,rb63,,0.06,,,,
formation,crypto,f10,,0.15,,,,
formation,crypto,f20,,0.56,,,,
formation,crypto,f30,,0.57,,,,
formation,crypto,f45,,0.22,,,,
formation,crypto,f90,,0.05,,,,
skip,equity,sk0,,0.35,,,,
skip,equity,sk5,,0.36,,,,
skip,equity,sk21,,0.37,,,,
skip,equity,sk42,,0.34,,,,
weighting,equity,equal,,0.38,,,,
weighting,equity,rank,,0.39,,,,
weighting,equity,volinv,,0.31,,,,
rebal,equity,rb5,,0.43,,,,
rebal,equity,rb10,,0.49,,,,
rebal,equity,rb21,,0.38,,,,
rebal,equity,rb42,,0.44,,,,
rebal,equity,rb63,,0.44,,,,
formation,equity,f63,,0.49,,,,
formation,equity,f126,,0.52,,,,
formation,equity,f252,,0.38,,,,
formation,equity,f378,,0.39,,,,
formation,equity,f504,,0.42,,,,
market_factor,crypto,EW panel,,0.57,,-0.001,,
market_factor,crypto,BTC,,0.42,,-0.008,,
