asset,n_years,ann_sharpe,ann_fade_sharpe,preann_fade_sharpe
EFA,21.6,0.55,0.59,0.59
BTCUSDT,6.6,0.67,0.43,0.54
QQQ,21.6,0.53,0.47,0.52
SLV,20.3,0.53,0.48,0.52
EEM,18.6,0.48,0.57,0.52
XLK,21.6,0.49,0.42,0.51
SPY,21.6,0.34,0.38,0.46
XLF,21.6,0.33,0.49,0.45
DIA,21.6,0.14,0.23,0.4
XLB,21.6,0.23,0.41,0.38
XLV,21.6,0.11,0.21,0.37
IWM,21.6,0.29,0.31,0.35
GLD,21.6,0.16,0.12,0.31
XLI,21.6,0.17,0.16,0.25
XLY,21.6,0.25,0.2,0.24
XLE,21.6,0.12,0.22,0.24
HYG,19.3,0.53,0.45,0.2
ETHUSDT,6.6,0.5,0.05,0.15
XLP,21.6,-0.29,-0.16,0.07
LQD,21.6,0.13,0.01,-0.02
TLT,21.6,0.08,-0.22,-0.11
XLU,21.6,0.01,-0.16,-0.18
IEF,21.6,0.14,-0.26,-0.19
AGG,21.6,0.06,-0.43,-0.32
SHY,21.6,-0.7,-1.58,-1.31
