arm,group,long,short,sharpe,ann_ret_pct,cagr_pct,ann_vol_pct,days_in_market_pct,max_dd,calmar,months_in_profit,worst_month,losing_streak_mo,sh_05-10,sh_11-15,sh_16-20,sh_21-26,placebo_pctile,placebo_p95,mean_bps_per_event,t_per_event,n_events
BTC:pre_ann,fomc_event,"-1,0",-,0.742,10.52,10.03,14.19,4.4,-0.1528,0.66,0.4684,-0.0598,5,,,2.3,0.29,94.0,0.794,,,
BTC:ann,fomc_event,0,-,0.667,7.74,7.36,11.6,2.2,-0.1174,0.63,0.3671,-0.0659,13,,,1.9,0.26,94.0,0.669,,,
crypto2:pre_ann,fomc_event,"-1,0",-,0.65,9.71,9.01,14.93,4.4,-0.1509,0.6,0.4304,-0.0764,8,,,2.14,0.32,91.0,0.716,,,
crypto2:ann,fomc_event,0,-,0.599,7.19,6.72,12.01,2.2,-0.1117,0.6,0.3797,-0.0813,10,,,1.85,0.28,96.0,0.584,,,
xasset8rp:pre_ann,fomc_event,"-1,0",-,0.585,1.64,1.61,2.81,6.4,-0.0462,0.35,0.4269,-0.0408,7,0.92,0.35,0.55,0.4,100.0,0.389,,,
QQQ:pre_ann,fomc_event,"-1,0",-,0.555,3.37,3.24,6.08,6.4,-0.0974,0.33,0.4115,-0.0447,8,0.9,0.38,0.71,0.13,100.0,0.387,,,
BTC:preann_fade,fomc_event,"-1,0","1,2",0.543,10.63,9.12,19.58,8.8,-0.2624,0.35,0.481,-0.1739,5,,,1.13,0.39,98.0,0.47,,,
HYG:ann,fomc_event,0,-,0.53,1.36,1.34,2.57,3.2,-0.053,0.25,0.3734,-0.0447,8,1.12,0.54,-0.08,0.52,100.0,0.183,,,
QQQ:ann,fomc_event,0,-,0.526,2.19,2.13,4.16,3.2,-0.073,0.29,0.3769,-0.0367,6,1.06,0.65,0.01,0.28,100.0,0.364,,,
QQQ:preann_fade,fomc_event,"-1,0","1,2",0.518,4.33,4.06,8.35,12.7,-0.2083,0.19,0.4308,-0.0688,9,0.78,0.27,1.07,-0.03,100.0,0.251,,,
xasset8rp:preann_fade,fomc_event,"-1,0","1,2",0.482,1.79,1.73,3.7,12.7,-0.0609,0.28,0.4269,-0.0402,7,0.54,0.49,0.61,0.31,100.0,0.104,,,
QQQ:ann_fade,fomc_event,0,1,0.467,2.84,2.69,6.09,6.4,-0.1691,0.16,0.3885,-0.0538,8,0.84,0.69,0.11,0.18,100.0,0.177,,,
SPY:preann_fade,fomc_event,"-1,0","1,2",0.457,3.36,3.13,7.35,12.7,-0.1744,0.18,0.4308,-0.0462,7,0.81,0.24,0.78,-0.14,100.0,0.25,,,
HYG:ann_fade,fomc_event,0,1,0.454,1.63,1.57,3.58,6.4,-0.0607,0.26,0.3605,-0.0238,8,0.67,0.78,0.2,0.2,100.0,-0.015,,,
eqUS4ew:preann_fade,fomc_event,"-1,0","1,2",0.45,3.46,3.21,7.7,12.7,-0.184,0.17,0.4423,-0.0497,7,0.75,0.24,0.77,-0.06,100.0,0.295,,,
xasset8rp:ann,fomc_event,0,-,0.447,1.04,1.02,2.33,3.2,-0.0504,0.2,0.3769,-0.0465,8,0.87,0.36,0.13,0.38,100.0,0.207,,,
BTC:ann_fade,fomc_event,0,1,0.433,6.92,5.82,15.97,4.4,-0.2181,0.27,0.4051,-0.1595,5,,,0.82,0.32,92.0,0.514,,,
eqUS4ew:pre_ann,fomc_event,"-1,0",-,0.426,2.41,2.27,5.65,6.4,-0.1022,0.22,0.4077,-0.041,7,0.85,0.29,0.38,-0.04,94.0,0.433,,,
all21rp:pre_ann,fomc_event,"-1,0",-,0.411,0.79,0.78,1.93,6.4,-0.0448,0.17,0.4038,-0.0209,7,0.88,0.25,0.24,0.08,100.0,0.236,,,
eq15ew:preann_fade,fomc_event,"-1,0","1,2",0.406,2.99,2.76,7.38,12.7,-0.1596,0.17,0.4538,-0.0411,7,0.7,0.21,0.63,-0.09,100.0,0.192,,,
SPY:pre_ann,fomc_event,"-1,0",-,0.404,2.21,2.08,5.47,6.4,-0.0947,0.22,0.4192,-0.0344,8,0.82,0.26,0.35,-0.08,96.0,0.401,,,
eq15rp:preann_fade,fomc_event,"-1,0","1,2",0.391,2.74,2.52,7.02,12.7,-0.1546,0.16,0.4423,-0.039,9,0.69,0.2,0.63,-0.12,99.0,0.235,,,
HYG:pre_ann,fomc_event,"-1,0",-,0.387,1.22,1.18,3.16,6.4,-0.0653,0.18,0.382,-0.0595,8,0.55,0.25,0.17,0.66,96.0,0.323,,,
eq15ew:pre_ann,fomc_event,"-1,0",-,0.381,2.1,1.96,5.5,6.4,-0.1,0.2,0.4077,-0.0348,7,0.82,0.26,0.3,-0.18,92.0,0.434,,,
SPY:ann_fade,fomc_event,0,1,0.378,2.0,1.87,5.28,6.4,-0.1686,0.11,0.3692,-0.0538,7,0.79,0.73,0.02,-0.18,100.0,0.167,,,
xasset8rp:ann_fade,fomc_event,0,1,0.373,1.13,1.09,3.03,6.4,-0.077,0.14,0.3808,-0.0367,9,0.41,0.74,0.23,0.16,100.0,-0.071,,,
eq13ew:preann_fade,fomc_event,"-1,0","1,2",0.371,2.72,2.48,7.33,12.7,-0.1672,0.15,0.45,-0.0432,7,0.71,0.18,0.57,-0.16,98.0,0.189,,,
eq15rp:pre_ann,fomc_event,"-1,0",-,0.367,1.92,1.79,5.22,6.4,-0.0962,0.19,0.4077,-0.035,8,0.82,0.25,0.3,-0.23,95.0,0.364,,,
eqUS4ew:ann_fade,fomc_event,0,1,0.363,2.05,1.91,5.65,6.4,-0.1861,0.1,0.3769,-0.0707,7,0.76,0.63,0.05,-0.1,99.0,0.231,,,
eq13ew:pre_ann,fomc_event,"-1,0",-,0.359,1.96,1.83,5.46,6.4,-0.1021,0.18,0.4038,-0.0348,7,0.81,0.27,0.25,-0.23,89.0,0.45,,,
eq15ew:ann_fade,fomc_event,0,1,0.358,1.92,1.79,5.38,6.4,-0.1685,0.11,0.3577,-0.0709,8,0.73,0.74,0.04,-0.26,98.0,0.218,,,
eqUS4ew:ann,fomc_event,0,-,0.344,1.36,1.29,3.94,3.2,-0.1079,0.12,0.3385,-0.0567,11,1.01,0.46,-0.3,0.01,95.0,0.341,,,
crypto2:preann_fade,fomc_event,"-1,0","1,2",0.34,7.26,5.1,21.36,8.8,-0.2842,0.18,0.443,-0.1681,5,,,0.51,0.3,89.0,0.432,,,
SPY:ann,fomc_event,0,-,0.338,1.25,1.19,3.71,3.2,-0.1007,0.12,0.3269,-0.0512,11,1.0,0.5,-0.35,-0.08,94.0,0.344,,,
bond3rp:pre_ann,fomc_event,"-1,0",-,0.318,0.76,0.73,2.39,6.4,-0.0696,0.1,0.3846,-0.0693,8,0.31,0.11,0.19,0.62,99.0,0.183,,,
eq15rp:ann_fade,fomc_event,0,1,0.316,1.61,1.49,5.1,6.4,-0.1636,0.09,0.3577,-0.067,8,0.69,0.72,0.01,-0.32,100.0,0.128,,,
eq13ew:ann_fade,fomc_event,0,1,0.311,1.66,1.53,5.33,6.4,-0.1788,0.09,0.3423,-0.0689,8,0.72,0.69,-0.01,-0.33,98.0,0.189,,,
eq15ew:ann,fomc_event,0,-,0.309,1.18,1.11,3.8,3.2,-0.1149,0.1,0.3346,-0.0627,9,1.01,0.46,-0.34,-0.15,94.0,0.314,,,
GLD:preann_fade,fomc_event,"-1,0","1,2",0.305,2.38,2.1,7.8,12.7,-0.1789,0.12,0.4423,-0.0715,7,0.11,0.53,0.38,0.32,98.0,0.23,,,
GLD:pre_ann,fomc_event,"-1,0",-,0.303,1.38,1.28,4.53,6.4,-0.1397,0.09,0.3769,-0.0484,8,0.58,-0.13,1.01,-0.06,90.0,0.412,,,
eq15rp:ann,fomc_event,0,-,0.283,1.02,0.96,3.59,3.2,-0.1096,0.09,0.3269,-0.0606,11,1.02,0.45,-0.35,-0.22,93.0,0.314,,,
TLT:pre_ann,fomc_event,"-1,0",-,0.271,1.11,1.03,4.09,6.4,-0.1201,0.09,0.3885,-0.1199,7,0.22,0.12,0.28,0.48,94.0,0.292,,,
eq13ew:ann,fomc_event,0,-,0.265,1.0,0.93,3.78,3.2,-0.1227,0.08,0.3269,-0.0612,9,0.96,0.47,-0.41,-0.24,92.0,0.298,,,
TLTvsSPY:post12,fomc_event,"1,2",-,0.259,1.98,1.7,7.63,6.4,-0.1888,0.09,0.3615,-0.0619,10,0.25,0.04,0.9,-0.19,98.0,0.145,,,
all21rp:ann,fomc_event,0,-,0.248,0.38,0.37,1.52,3.2,-0.0454,0.08,0.35,-0.0283,9,0.91,0.22,-0.21,0.0,100.0,0.054,,,
SPY:post12_rev,fomc_event,-,"1,2",0.233,1.15,1.03,4.91,6.4,-0.1159,0.09,0.3192,-0.0402,10,0.26,0.07,0.73,-0.12,99.0,0.127,,,
crypto2:ann_fade,fomc_event,0,1,0.228,3.97,2.47,17.43,4.4,-0.2215,0.11,0.3671,-0.1613,6,,,0.23,0.23,76.0,0.625,,,
BTC:pre1,fomc_event,-1,-,0.224,1.82,1.5,8.12,2.2,-0.1795,0.08,0.3418,-0.086,10,,,1.33,0.03,71.0,0.624,,,
bondVsEq:post12,fomc_event,"1,2",-,0.218,1.4,1.2,6.43,6.4,-0.1721,0.07,0.3577,-0.0699,8,0.13,0.02,0.84,-0.12,100.0,0.034,,,
bondVsEq:preann_fade_rev,fomc_event,"1,2","-1,0",0.21,1.92,1.51,9.17,12.7,-0.2777,0.05,0.4,-0.0625,9,0.45,0.04,0.65,-0.42,98.0,0.157,,,
eqUS4ew:post12_rev,fomc_event,-,"1,2",0.201,1.05,0.92,5.24,6.4,-0.1266,0.07,0.3346,-0.0558,8,0.13,0.03,0.71,-0.04,100.0,0.073,,,
HYG:preann_fade,fomc_event,"-1,0","1,2",0.199,0.96,0.84,4.82,12.8,-0.1301,0.06,0.4034,-0.0822,8,-0.06,0.24,0.53,0.39,96.0,0.153,,,
TLTvsSPY:preann_fade_rev,fomc_event,"1,2","-1,0",0.198,2.12,1.56,10.71,12.7,-0.3263,0.05,0.4,-0.0864,6,0.5,0.02,0.63,-0.51,99.0,0.113,,,
SPY:post1_rev,fomc_event,-,1,0.198,0.74,0.67,3.76,3.2,-0.102,0.07,0.3038,-0.0352,10,0.14,0.53,0.37,-0.19,100.0,0.074,,,
eq15ew:post1_rev,fomc_event,-,1,0.196,0.75,0.68,3.81,3.2,-0.1014,0.07,0.3192,-0.0436,8,0.05,0.59,0.43,-0.22,98.0,0.069,,,
all21rp:preann_fade,fomc_event,"-1,0","1,2",0.193,0.49,0.46,2.55,12.7,-0.0792,0.06,0.3923,-0.0217,7,0.52,0.18,0.09,-0.1,100.0,-0.059,,,
TLTvsSPY:post1,fomc_event,1,-,0.183,0.98,0.84,5.34,3.2,-0.1374,0.06,0.3192,-0.0448,11,0.19,0.32,0.5,-0.35,98.0,0.064,,,
TLT:post12,fomc_event,"1,2",-,0.182,0.83,0.73,4.56,6.4,-0.1394,0.05,0.3769,-0.0423,10,0.09,-0.0,0.82,-0.13,90.0,0.259,,,
eq15ew:post12_rev,fomc_event,-,"1,2",0.182,0.9,0.78,4.93,6.4,-0.1237,0.06,0.3231,-0.0556,8,0.08,0.03,0.59,0.05,99.0,0.045,,,
crypto2:pre1,fomc_event,-1,-,0.176,1.55,1.17,8.81,2.2,-0.1954,0.06,0.3291,-0.0953,10,,,1.01,0.06,65.0,0.766,,,
eq15rp:post12_rev,fomc_event,-,"1,2",0.176,0.83,0.72,4.7,6.4,-0.1199,0.06,0.3192,-0.0529,8,0.07,0.03,0.58,0.04,98.0,0.011,,,
eq13ew:post1_rev,fomc_event,-,1,0.175,0.66,0.59,3.76,3.2,-0.1018,0.06,0.3192,-0.039,8,0.06,0.51,0.41,-0.23,99.0,0.032,,,
eqUS4ew:post1_rev,fomc_event,-,1,0.171,0.69,0.61,4.06,3.2,-0.1281,0.05,0.3308,-0.041,8,0.1,0.44,0.37,-0.14,98.0,0.103,,,
QQQ:post12_rev,fomc_event,-,"1,2",0.167,0.96,0.79,5.74,6.4,-0.1711,0.05,0.3269,-0.0396,10,0.13,-0.0,0.8,-0.16,98.0,0.077,,,
eq15rp:post1_rev,fomc_event,-,1,0.165,0.6,0.53,3.64,3.2,-0.0945,0.06,0.3115,-0.0427,8,-0.0,0.56,0.39,-0.24,99.0,0.033,,,
GLD:ann,fomc_event,0,-,0.163,0.57,0.51,3.49,3.2,-0.0954,0.05,0.3577,-0.0322,10,0.2,-0.11,0.68,0.02,77.0,0.319,,,
GLD:post12_rev,fomc_event,-,"1,2",0.159,1.01,0.81,6.35,6.4,-0.1838,0.04,0.3462,-0.0859,11,-0.25,0.75,-0.34,0.44,99.0,0.027,,,
QQQ:pre1,fomc_event,-1,-,0.158,0.7,0.6,4.42,3.2,-0.1131,0.05,0.3538,-0.0608,11,0.21,-0.2,0.78,-0.35,72.0,0.387,,,
eq13ew:post12_rev,fomc_event,-,"1,2",0.156,0.76,0.65,4.9,6.4,-0.1361,0.05,0.3231,-0.052,8,0.1,-0.03,0.56,-0.0,99.0,0.016,,,
TLTvsSPY:ann_fade_rev,fomc_event,1,0,0.147,1.03,0.79,7.04,6.4,-0.3076,0.03,0.3423,-0.0686,12,0.63,0.47,-0.19,-0.66,99.0,0.037,,,
bond3rp:ann,fomc_event,0,-,0.147,0.28,0.26,1.9,3.2,-0.0527,0.05,0.3423,-0.0331,8,0.01,-0.3,0.34,0.52,97.0,0.08,,,
QQQ:post1_rev,fomc_event,-,1,0.146,0.65,0.55,4.45,3.2,-0.145,0.04,0.3231,-0.0365,8,0.18,0.35,0.15,-0.03,96.0,0.133,,,
TLT:pre1,fomc_event,-1,-,0.142,0.4,0.36,2.78,3.2,-0.1014,0.04,0.3423,-0.0673,10,0.33,0.39,-0.15,0.06,90.0,0.211,,,
eqUS4ew:pre1,fomc_event,-1,-,0.141,0.57,0.49,4.03,3.2,-0.1232,0.04,0.3308,-0.0672,10,0.21,-0.16,0.75,-0.26,79.0,0.293,,,
GLD:ann_fade,fomc_event,0,1,0.124,0.73,0.56,5.91,6.4,-0.2001,0.03,0.3885,-0.1228,8,-0.3,0.63,0.5,-0.04,96.0,0.106,,,
eq13ew:pre1,fomc_event,-1,-,0.121,0.48,0.4,3.93,3.2,-0.1324,0.03,0.3231,-0.066,13,0.2,-0.21,0.67,-0.27,74.0,0.355,,,
bondVsEq:post1,fomc_event,1,-,0.121,0.56,0.46,4.67,3.2,-0.1118,0.04,0.3,-0.0498,9,0.1,0.27,0.4,-0.3,97.0,0.019,,,
SPY:pre1,fomc_event,-1,-,0.119,0.48,0.4,4.01,3.2,-0.1341,0.03,0.3269,-0.0657,10,0.2,-0.25,0.71,-0.23,80.0,0.274,,,
GLD:pre1,fomc_event,-1,-,0.113,0.33,0.29,2.89,3.2,-0.1144,0.03,0.3462,-0.031,16,0.48,-0.26,0.57,-0.26,76.0,0.313,,,
eq15rp:pre1,fomc_event,-1,-,0.111,0.42,0.35,3.79,3.2,-0.1328,0.03,0.3308,-0.0649,13,0.18,-0.23,0.67,-0.33,76.0,0.294,,,
eq15ew:pre1,fomc_event,-1,-,0.111,0.44,0.36,3.97,3.2,-0.1383,0.03,0.3269,-0.0678,13,0.19,-0.22,0.69,-0.34,79.0,0.33,,,
bondVsEq:ann_fade_rev,fomc_event,1,0,0.106,0.65,0.46,6.19,6.4,-0.2708,0.02,0.3269,-0.0606,11,0.54,0.43,-0.25,-0.6,98.0,0.053,,,
HYG:post1_rev,fomc_event,-,1,0.105,0.26,0.23,2.49,3.2,-0.059,0.04,0.2918,-0.028,10,-0.07,0.58,0.46,-0.28,98.0,-0.023,,,
crypto2:post1,fomc_event,1,-,0.103,1.29,0.52,12.6,2.2,-0.2309,0.02,0.3165,-0.1176,6,,,1.21,-0.22,55.0,0.682,,,
bondVsEq:pre_ann_rev,fomc_event,-,"-1,0",0.08,0.52,0.31,6.54,6.4,-0.1909,0.02,0.3731,-0.0517,8,0.47,0.03,0.02,-0.48,73.0,0.289,,,
TLT:ann,fomc_event,0,-,0.077,0.23,0.18,2.99,3.2,-0.1192,0.02,0.35,-0.057,10,-0.16,-0.34,0.41,0.41,83.0,0.19,,,
xasset8rp:pre1,fomc_event,-1,-,0.077,0.12,0.11,1.54,3.2,-0.0473,0.02,0.3346,-0.0249,9,0.18,-0.25,0.63,-0.27,82.0,0.205,,,
TLT:post1,fomc_event,1,-,0.073,0.23,0.18,3.17,3.2,-0.147,0.01,0.35,-0.028,10,0.17,0.04,0.46,-0.22,84.0,0.197,,,
xasset8rp:post12_rev,fomc_event,-,"1,2",0.059,0.14,0.11,2.42,6.4,-0.0676,0.02,0.3154,-0.0242,10,-0.24,0.35,0.27,0.05,98.0,-0.041,,,
bond3rp:post12,fomc_event,"1,2",-,0.054,0.12,0.1,2.3,6.4,-0.0816,0.01,0.3615,-0.0248,10,-0.01,-0.18,0.6,-0.1,80.0,0.242,,,
xasset8rp:post1_rev,fomc_event,-,1,0.046,0.09,0.07,1.94,3.2,-0.0672,0.01,0.2885,-0.0167,10,-0.32,0.72,0.24,-0.18,98.0,-0.087,,,
all21rp:ann_fade,fomc_event,0,1,0.046,0.09,0.07,2.03,6.4,-0.0825,0.01,0.3346,-0.03,9,0.36,0.43,-0.31,-0.27,99.0,-0.215,,,
crypto2:post12,fomc_event,"1,2",-,0.035,0.54,-0.61,15.25,4.4,-0.3241,-0.02,0.3165,-0.1084,10,,,1.14,-0.24,40.0,0.743,,,
GLD:post1_rev,fomc_event,-,1,0.035,0.17,0.05,4.77,3.2,-0.2155,0.0,0.3385,-0.1135,11,-0.45,0.87,0.02,-0.07,90.0,0.103,,,
bondVsEq:ann_rev,fomc_event,-,0,0.022,0.09,0.01,4.08,3.2,-0.2306,0.0,0.3077,-0.0435,14,0.69,0.36,-0.88,-0.55,76.0,0.164,,,
