asset_class,symbol,tf,entry,sharpe,pnl_share,risk_contrib,n_obs
equity,QQQ,1d,ema,0.93,0.027305334759728482,0.012110213200183408,5328
equity,SPY,1d,ema,0.75,0.02230714590889267,0.011519156357641487,5328
equity,IWM,1d,ema,0.28,0.007085047691593734,0.009004726412541313,5328
equity,GOOGL,1d,ema,0.79,0.022246451399832896,0.00879640390581116,5328
equity,MSFT,1d,ema,0.86,0.024036226476481865,0.008723712959484695,5328
equity,AMZN,1d,ema,0.68,0.018626869225519215,0.0077389036844302175,5328
equity,JPM,1d,ema,0.75,0.02074350163451734,0.007570089114160804,5328
equity,META,1d,ema,0.75,0.01877616198421206,0.007543465891821884,5192
equity,NVDA,1d,ema,1.23,0.0346171885060813,0.007445866246069921,5328
crypto,ETHUSDT,1h,ema,0.59,0.006540575973508289,0.00719563178466048,2404
equity,AAPL,1d,ema,0.69,0.018706195354611075,0.0067930051874882155,5328
crypto,ETHUSDT,4h,ema,0.81,0.011568053824951904,0.006496779705306709,3271
crypto,BTCUSDT,1h,ema,0.54,0.005917627792827782,0.006351975700100513,2404
equity,QQQ,1d,blend,0.61,0.009843042036207991,0.006287082840093666,5328
crypto,BTCUSDT,4h,ema,1.12,0.016707383323553416,0.006027836416668753,3271
equity,SPY,1d,blend,0.61,0.009810732998572788,0.005933048806172211,5328
crypto,BTCUSDT,1d,ema,0.66,0.009713105475564022,0.005878641936350678,3271
crypto,LINKUSDT,4h,ema,0.69,0.00799000388375529,0.005799429333672611,2754
crypto,ADAUSDT,1h,ema,0.63,0.0059990317930857864,0.005740345532928597,2374
crypto,BNBUSDT,1h,ema,0.82,0.008345791621028092,0.005717824094930641,2364
crypto,XRPUSDT,1d,ema,0.61,0.007972600164453336,0.005599126561237113,2399
crypto,LINKUSDT,1h,ema,0.68,0.006640032445186238,0.0055333624372228335,2388
crypto,LTCUSDT,1h,ema,-0.29,-0.002812554584230374,0.00553200698774291,2396
crypto,ETHUSDT,1d,ema,0.34,0.004526324641846749,0.005494660849254465,3271
crypto,DOTUSDT,4h,ema,0.31,0.0025416680546304013,0.0054939894548806135,2170
crypto,DOTUSDT,1h,ema,-0.32,-0.0025650296839584657,0.005493526657182774,2170
crypto,ETCUSDT,1h,ema,-0.17,-0.001586406375645873,0.005492815202787548,2389
crypto,VETUSDT,1h,ema,0.43,0.0038773394971761354,0.005481395652765181,2360
crypto,LTCUSDT,4h,ema,0.23,0.00298255833736288,0.005359902131258528,3153
crypto,XTZUSDT,1h,ema,-0.23,-0.0020340112183662032,0.005344918019969043,2368
crypto,DASHUSDT,1h,ema,-0.13,-0.001195161618855893,0.005281485465901931,2370
crypto,BCHUSDT,4h,ema,0.23,0.002314532413812097,0.005275111891300813,2438
crypto,TRXUSDT,4h,ema,0.84,0.012544134519208536,0.005261250317977651,2973
crypto,BCHUSDT,1h,ema,0.29,0.002976611389154881,0.005260288728747478,2404
crypto,XRPUSDT,1h,ema,0.51,0.005300628374111302,0.005250069818561467,2399
crypto,BCHUSDT,1d,ema,0.34,0.003625615875573675,0.0052320318443042834,2438
crypto,TRXUSDT,1h,ema,0.6,0.007112658055529282,0.0051970158741108125,2390
crypto,ATOMUSDT,1h,ema,0.0,2.9452845332207965e-05,0.005171084883362347,2367
crypto,BNBUSDT,4h,ema,1.36,0.018455327439948245,0.005163574304945224,3190
crypto,LINKUSDT,1d,ema,0.92,0.011097449083069484,0.005107884355572553,2754
crypto,TRXUSDT,1d,ema,0.77,0.013928013518286327,0.005075646490632831,2973
crypto,DASHUSDT,4h,ema,-0.05,-0.0004838877379892532,0.005050826875729786,2683
crypto,XLMUSDT,4h,ema,0.11,0.0013378245282669554,0.005021328191767999,2984
crypto,IOTAUSDT,1h,ema,-0.14,-0.0011658881724285382,0.004915051338058369,2362
crypto,XTZUSDT,4h,ema,0.32,0.002986995991969284,0.00491053760319289,2503
crypto,ARBUSDT,1h,ema,-0.28,-0.001282959901557686,0.004903447561599098,1227
crypto,XLMUSDT,1h,ema,0.27,0.0024872130125883174,0.004894549082706687,2385
crypto,ETCUSDT,4h,ema,0.39,0.004590591427316101,0.004874856672999061,2972
crypto,ALGOUSDT,1h,ema,0.06,0.0005013211907345913,0.004838224868496592,2237
crypto,VETUSDT,4h,ema,0.91,0.009789931620779123,0.004792958010694535,2929
crypto,GRTUSDT,1h,ema,-0.09,-0.0006589846251481775,0.0047619323861708834,2051
crypto,NEARUSDT,1h,ema,0.65,0.0053934308089776,0.004759044763394125,2116
crypto,SOLUSDT,4h,ema,0.76,0.006375073203621099,0.004751981675316263,2147
crypto,FILUSDT,1h,ema,-0.12,-0.0010121720000856346,0.00474103214793513,2115
crypto,XMRUSDT,1d,ema,0.01,0.00012561909410353838,0.004738638626188046,2696
crypto,XRPUSDT,4h,ema,0.03,0.0003020082740259641,0.004724087516498565,3011
crypto,ZECUSDT,1h,ema,0.62,0.005997310493694808,0.004722959269239997,2369
crypto,ATOMUSDT,4h,ema,0.19,0.0019163635357627457,0.004707256127422739,2651
crypto,AVAXUSDT,4h,ema,0.5,0.003952474380524215,0.00465265650722042,2138
crypto,AVAXUSDT,1h,ema,0.3,0.0023858483645933914,0.004644778903614035,2138
crypto,ZECUSDT,4h,ema,0.72,0.007415153190357813,0.004627143675038295,2690
crypto,DOGEUSDT,4h,ema,0.91,0.010556785902509615,0.004605391551283279,2584
crypto,OPUSDT,1h,ema,-0.22,-0.0013042308401093404,0.004585552279686025,1522
crypto,XMRUSDT,4h,ema,0.3,0.003503580424337288,0.004581516962625988,2696
crypto,DOGEUSDT,1h,ema,0.99,0.00865057909240103,0.004569250940013011,2213
crypto,AAVEUSDT,4h,ema,0.28,0.0021407415770472184,0.0045545379960853375,2115
crypto,ADAUSDT,4h,ema,0.78,0.008074080927421979,0.004528345599927489,3028
crypto,1000PEPEUSDT,1h,ema,1.02,0.0047909051297392565,0.004487779943188441,1184
crypto,RUNEUSDT,1h,ema,0.57,0.004827262430543747,0.004469810686511105,2157
crypto,NEARUSDT,4h,ema,0.75,0.006048703840914277,0.004453125572870481,2116
