asset_class,symbol,cfg,sharpe
crypto,BTCUSDT,"ema|fast10,slow50|ls",0.6
crypto,BTCUSDT,"ema|fast20,slow100|ls",0.48
crypto,BTCUSDT,"ema|fast20,slow200|ls",0.62
crypto,BTCUSDT,"ema|fast50,slow150|ls",0.56
crypto,BTCUSDT,"ema|fast50,slow200|ls",0.55
crypto,BTCUSDT,"ema|fast50,slow300|ls",0.45
crypto,BTCUSDT,"ema|fast100,slow300|ls",0.39
crypto,BTCUSDT,"ema|fast100,slow400|ls",0.5
crypto,BTCUSDT,"sma|fast20,slow100|ls",0.64
crypto,BTCUSDT,"sma|fast50,slow200|ls",0.33
crypto,BTCUSDT,"sma|fast100,slow300|ls",0.49
crypto,BTCUSDT,tsmom|lookback20|ls,0.52
crypto,BTCUSDT,tsmom|lookback30|ls,0.81
crypto,BTCUSDT,tsmom|lookback60|ls,0.6
crypto,BTCUSDT,tsmom|lookback90|ls,0.41
crypto,BTCUSDT,tsmom|lookback120|ls,0.54
crypto,BTCUSDT,tsmom|lookback180|ls,0.42
crypto,BTCUSDT,"macd|fast12,slow26|ls",0.52
crypto,BTCUSDT,donchian|lookback20|ls,0.47
crypto,BTCUSDT,donchian|lookback55|ls,0.36
crypto,BTCUSDT,donchian|lookback100|ls,0.56
crypto,BTCUSDT,blend|ls,0.67
crypto,BTCUSDT,strength|lookback90|ls,0.73
crypto,ETHUSDT,"ema|fast10,slow50|ls",0.41
crypto,ETHUSDT,"ema|fast20,slow100|ls",0.41
crypto,ETHUSDT,"ema|fast20,slow200|ls",0.33
crypto,ETHUSDT,"ema|fast50,slow150|ls",0.15
crypto,ETHUSDT,"ema|fast50,slow200|ls",0.06
crypto,ETHUSDT,"ema|fast50,slow300|ls",0.04
crypto,ETHUSDT,"ema|fast100,slow300|ls",-0.05
crypto,ETHUSDT,"ema|fast100,slow400|ls",0.01
crypto,ETHUSDT,"sma|fast20,slow100|ls",0.52
crypto,ETHUSDT,"sma|fast50,slow200|ls",0.15
crypto,ETHUSDT,"sma|fast100,slow300|ls",0.11
crypto,ETHUSDT,tsmom|lookback20|ls,0.46
crypto,ETHUSDT,tsmom|lookback30|ls,0.84
crypto,ETHUSDT,tsmom|lookback60|ls,0.67
crypto,ETHUSDT,tsmom|lookback90|ls,0.58
crypto,ETHUSDT,tsmom|lookback120|ls,0.61
crypto,ETHUSDT,tsmom|lookback180|ls,0.18
crypto,ETHUSDT,"macd|fast12,slow26|ls",0.24
crypto,ETHUSDT,donchian|lookback20|ls,0.69
crypto,ETHUSDT,donchian|lookback55|ls,0.35
crypto,ETHUSDT,donchian|lookback100|ls,0.25
crypto,ETHUSDT,blend|ls,0.46
crypto,ETHUSDT,strength|lookback90|ls,0.48
crypto,SOLUSDT,"ema|fast10,slow50|ls",0.2
crypto,SOLUSDT,"ema|fast20,slow100|ls",0.56
crypto,SOLUSDT,"ema|fast20,slow200|ls",0.54
crypto,SOLUSDT,"ema|fast50,slow150|ls",0.46
crypto,SOLUSDT,"ema|fast50,slow200|ls",0.55
crypto,SOLUSDT,"ema|fast50,slow300|ls",0.37
crypto,SOLUSDT,"ema|fast100,slow300|ls",0.21
crypto,SOLUSDT,"ema|fast100,slow400|ls",-0.0
crypto,SOLUSDT,"sma|fast20,slow100|ls",0.23
crypto,SOLUSDT,"sma|fast50,slow200|ls",0.24
crypto,SOLUSDT,"sma|fast100,slow300|ls",0.55
crypto,SOLUSDT,tsmom|lookback20|ls,0.84
crypto,SOLUSDT,tsmom|lookback30|ls,0.64
crypto,SOLUSDT,tsmom|lookback60|ls,0.24
crypto,SOLUSDT,tsmom|lookback90|ls,0.41
crypto,SOLUSDT,tsmom|lookback120|ls,0.88
crypto,SOLUSDT,tsmom|lookback180|ls,0.54
crypto,SOLUSDT,"macd|fast12,slow26|ls",0.29
crypto,SOLUSDT,donchian|lookback20|ls,0.19
crypto,SOLUSDT,donchian|lookback55|ls,0.07
crypto,SOLUSDT,donchian|lookback100|ls,0.56
crypto,SOLUSDT,blend|ls,0.52
crypto,SOLUSDT,strength|lookback90|ls,0.58
crypto,BNBUSDT,"ema|fast10,slow50|ls",0.52
crypto,BNBUSDT,"ema|fast20,slow100|ls",0.32
crypto,BNBUSDT,"ema|fast20,slow200|ls",0.78
crypto,BNBUSDT,"ema|fast50,slow150|ls",0.97
crypto,BNBUSDT,"ema|fast50,slow200|ls",0.76
crypto,BNBUSDT,"ema|fast50,slow300|ls",0.73
crypto,BNBUSDT,"ema|fast100,slow300|ls",0.58
crypto,BNBUSDT,"ema|fast100,slow400|ls",0.66
