candidate,sharpe,max_dd,worst_day,worst_month,months_pos,skew,exposure,oos_sharpe,oos_dd
fast + re-entry 5d,5.75,-0.134,-0.103,-0.091,0.851,-2.2,0.526,5.41,-0.134
both + re-entry 5d,5.77,-0.134,-0.103,-0.091,0.84,-2.2,0.519,5.22,-0.134
fast VIX/VIX9D>=1,6.38,-0.162,-0.157,-0.134,0.91,-3.3,0.734,4.16,-0.157
both segments,6.69,-0.162,-0.103,-0.105,0.92,-2.5,0.727,5.6,-0.113
ramp 3M band 0.1,6.32,-0.185,-0.171,-0.134,0.888,-3.7,0.802,5.39,-0.112
SHIPPED + re-entry 5d,6.25,-0.198,-0.136,-0.109,0.878,-3.1,0.847,4.05,-0.134
SHIPPED + re-entry 10d,5.87,-0.219,-0.136,-0.109,0.84,-3.2,0.779,3.37,-0.134
SHIPPED + re-entry 3d,6.28,-0.228,-0.136,-0.141,0.883,-3.2,0.88,4.35,-0.134
SHIPPED and VIX<30,5.65,-0.251,-0.251,-0.208,0.851,-4.8,0.897,4.66,-0.134
VIX tiers 22/30,5.01,-0.251,-0.251,-0.202,0.84,-5.1,0.873,2.84,-0.218
VIX3M/VIX>=1.05,6.0,-0.251,-0.251,-0.213,0.867,-5.1,0.813,5.65,-0.108
ramp 3M band 0.05,5.96,-0.251,-0.251,-0.209,0.872,-4.9,0.876,5.1,-0.117
VIX3M/VIX>=1.03,5.91,-0.253,-0.251,-0.208,0.878,-4.9,0.868,5.52,-0.123
SHIPPED and volvol,5.53,-0.259,-0.251,-0.209,0.846,-4.9,0.849,5.24,-0.123
SHIPPED VIX3M/VIX>=1,5.69,-0.259,-0.251,-0.208,0.872,-4.8,0.924,4.66,-0.134
SHIPPED and VRP>0,5.2,-0.261,-0.251,-0.209,0.824,-5.0,0.794,4.12,-0.134
vol-of-vol<90pct,4.94,-0.269,-0.251,-0.214,0.824,-4.9,0.892,3.4,-0.143
either segment,5.51,-0.27,-0.251,-0.231,0.867,-5.0,0.931,3.63,-0.27
VIX3M/VIX>=0.97,5.15,-0.285,-0.251,-0.231,0.856,-5.0,0.959,2.58,-0.285
VRP>0 (VIX-RV20),3.99,-0.406,-0.251,-0.257,0.798,-5.6,0.849,1.9,-0.343
none (ungated),4.45,-0.429,-0.251,-0.231,0.851,-5.4,1.0,2.27,-0.285
VRP>2 vol pts,3.36,-0.43,-0.251,-0.249,0.761,-5.8,0.713,1.88,-0.306
