volprem leg,sharpe,max_dd,worst_month,months_pos,streak_mo,oos_sharpe,oos_dd,oos_worst_mo,oos_months_pos,oos_streak,t3,t9
0.96/0.96,3.89,-0.0751,-0.047,0.8245,2,3.39,-0.0529,-0.0398,0.8077,2,0.96,0.96
0.96/0.98,3.95,-0.0751,-0.047,0.8457,2,3.36,-0.0588,-0.0424,0.8462,1,0.96,0.98
0.96/1.00,3.99,-0.0751,-0.0523,0.8564,2,3.27,-0.0633,-0.0523,0.8462,1,0.96,1.00
0.96/1.02,4.07,-0.0751,-0.0372,0.8404,2,4.09,-0.0454,-0.0181,0.8846,1,0.96,1.02
0.96/1.04,3.97,-0.0751,-0.0381,0.8245,2,4.05,-0.0416,-0.0206,0.8462,1,0.96,1.04
0.98/0.96,3.9,-0.0751,-0.047,0.8245,2,3.41,-0.0529,-0.0398,0.8077,2,0.98,0.96
0.98/0.98,3.95,-0.0751,-0.047,0.8457,2,3.39,-0.0588,-0.0424,0.8462,1,0.98,0.98
0.98/1.00,3.99,-0.0751,-0.0523,0.8564,2,3.27,-0.0633,-0.0523,0.8462,1,0.98,1.00
0.98/1.02,4.06,-0.0751,-0.0372,0.8404,2,4.09,-0.0454,-0.0181,0.8846,1,0.98,1.02
0.98/1.04,3.97,-0.0751,-0.0381,0.8245,2,4.05,-0.0416,-0.0206,0.8462,1,0.98,1.04
1.00/0.96,3.97,-0.0751,-0.047,0.8298,2,3.89,-0.0443,-0.0194,0.8462,2,1.00,0.96
1.00/0.98,4.02,-0.0751,-0.047,0.8511,2,3.92,-0.0443,-0.0181,0.8846,1,1.00,0.98
1.00/1.00,4.08,-0.0751,-0.0364,0.8564,2,3.99,-0.0443,-0.0181,0.8846,1,1.00,1.00
1.00/1.02,4.06,-0.0751,-0.0372,0.8404,2,4.1,-0.0454,-0.0181,0.8846,1,1.00,1.02
1.00/1.04,3.97,-0.0751,-0.0381,0.8245,2,4.05,-0.0416,-0.0206,0.8462,1,1.00,1.04
1.02/0.96,4.02,-0.0751,-0.0403,0.8298,2,3.86,-0.0441,-0.0194,0.8077,2,1.02,0.96
1.02/0.98,4.04,-0.0751,-0.0396,0.8457,2,3.9,-0.0441,-0.0181,0.8462,1,1.02,0.98
1.02/1.00,4.08,-0.0751,-0.0364,0.8511,2,3.97,-0.0441,-0.0181,0.8846,1,1.02,1.00
1.02/1.02,4.05,-0.0751,-0.0372,0.8351,2,4.07,-0.0454,-0.0181,0.8846,1,1.02,1.02
1.02/1.04,3.96,-0.0751,-0.0381,0.8245,2,4.02,-0.0416,-0.0206,0.8462,1,1.02,1.04
1.04/0.96,3.96,-0.0751,-0.0402,0.8245,2,3.84,-0.0446,-0.0194,0.8462,2,1.04,0.96
1.04/0.98,3.99,-0.0751,-0.0396,0.8298,2,3.88,-0.0447,-0.0181,0.8846,1,1.04,0.98
1.04/1.00,4.02,-0.0751,-0.0364,0.8298,2,3.93,-0.0447,-0.0181,0.8846,1,1.04,1.00
1.04/1.02,4.0,-0.0751,-0.0372,0.8191,2,4.05,-0.0441,-0.0181,0.8846,1,1.04,1.02
1.04/1.04,3.92,-0.0751,-0.0381,0.8085,2,3.98,-0.0416,-0.0207,0.8462,1,1.04,1.04
