k_rich,rv_lookback,restrike,sharpe
0.8,14,5,0.8907341946984383
0.8,14,7,0.6562230709840928
0.8,14,10,0.885723448416502
0.8,14,14,0.61040033256962
0.8,20,5,0.9156867021383505
0.8,20,7,0.6843193071354395
0.8,20,10,0.9094452223241641
0.8,20,14,0.6157138832333154
0.8,30,5,1.0060717973266138
0.8,30,7,0.769608929566752
0.8,30,10,1.0064923280590001
0.8,30,14,0.701232168657976
0.8,45,5,1.0489161699781828
0.8,45,7,0.8053721528839928
0.8,45,10,1.0571454494714814
0.8,45,14,0.744444042210021
0.8,60,5,1.0476189353172634
0.8,60,7,0.8022138335922184
0.8,60,10,1.05457837832576
0.8,60,14,0.7463266679716701
0.9,14,5,0.8572510981633441
0.9,14,7,0.6163464600585997
0.9,14,10,0.8467054488829739
0.9,14,14,0.5929233987195094
0.9,20,5,0.7679857445421696
0.9,20,7,0.5386675283935247
0.9,20,10,0.7529225026485696
0.9,20,14,0.4787341615031297
0.9,30,5,0.9382968650032095
0.9,30,7,0.7037036295917286
0.9,30,10,0.9234069241282216
0.9,30,14,0.6131458757173307
0.9,45,5,0.9441966740162892
0.9,45,7,0.8013413039176296
0.9,45,10,0.9243640109332767
0.9,45,14,0.8008376910046047
0.9,60,5,1.003552630185498
0.9,60,7,0.8669975685336978
0.9,60,10,1.0002923289895045
0.9,60,14,0.8054943074125582
1.0,14,5,1.064947247945277
1.0,14,7,0.8143088907525696
1.0,14,10,1.049597343366592
1.0,14,14,0.838652181157027
1.0,20,5,0.6614404849616484
1.0,20,7,0.429867185177709
1.0,20,10,0.6415547045218485
1.0,20,14,0.3825873637743636
1.0,30,5,0.8628381744867812
1.0,30,7,0.6358378680926899
1.0,30,10,0.8323357048343036
1.0,30,14,0.5285227511996433
1.0,45,5,0.5671274161983071
1.0,45,7,0.44703709619773324
1.0,45,10,0.5615348854654376
1.0,45,14,0.3833512670847069
1.0,60,5,0.9885550211741861
1.0,60,7,0.8741625886796542
1.0,60,10,1.0019550264625354
1.0,60,14,0.8015135571219445
1.1,14,5,0.8998549059896271
1.1,14,7,0.6455490833540055
1.1,14,10,0.8787584273391894
1.1,14,14,0.7228275564517563
1.1,20,5,0.6244853751063135
1.1,20,7,0.40665619477532783
1.1,20,10,0.6108791222951838
1.1,20,14,0.3915765017563743
1.1,30,5,0.7137540491580298
1.1,30,7,0.5459703421197758
1.1,30,10,0.6913261528540402
1.1,30,14,0.4888694091515546
1.1,45,5,0.34840395468260527
1.1,45,7,0.22042839928452182
1.1,45,10,0.31677483628399666
1.1,45,14,0.1361080689358166
1.1,60,5,1.1050292448165782
1.1,60,7,1.065726128564366
1.1,60,10,1.0800535403305553
1.1,60,14,1.0006165730601835
1.2,14,5,1.101677583541756
1.2,14,7,0.9792184215141092
1.2,14,10,1.2090426974746409
1.2,14,14,1.0771911673621335
1.2,20,5,0.6141540548248832
1.2,20,7,0.5087659768173296
1.2,20,10,0.6224622218335668
1.2,20,14,0.5177530507907698
1.2,30,5,0.6286831036932019
1.2,30,7,0.522048087357142
1.2,30,10,0.5997771994507844
1.2,30,14,0.4809449410516738
1.2,45,5,0.5273668318984257
1.2,45,7,0.45223617929655635
1.2,45,10,0.5163956118431088
1.2,45,14,0.3938153386763484
1.2,60,5,-0.6364617653769428
1.2,60,7,-0.6751882944285967
1.2,60,10,-0.7164336797759815
1.2,60,14,-0.786040048829105
