signal,lookback_d,skip_d,top_frac,weighting,rebal_d,sharpe,sortino,mc_p5,max_dd,months_in_profit,ann_turnover,cost_drag,n_obs
raw,5,0,0.1,equal,5,-0.4573438069044496,-0.6076198037733973,,-0.6083352827628785,0.4625,174.61049902786777,0.12473333333333333,10801
raw,5,0,0.1,equal,10,-0.6515538226156574,-0.8431370716806001,,-0.6504997342269451,0.475,87.0252754374595,0.06216666666666666,10801
raw,5,0,0.1,equal,21,0.07101834009595341,0.09699808292266174,,-0.3972006163037205,0.525,40.45625405055087,0.028899999999999995,10801
raw,5,0,0.1,volinv,5,-0.48707952631201895,-0.6446434728331043,,-0.6044262520801194,0.475,178.45473493263307,0.1274794703708578,10801
raw,5,0,0.1,volinv,10,-0.6312144542403946,-0.8168441109833734,,-0.6573894026317166,0.4625,89.29234934524735,0.06378615511097993,10801
raw,5,0,0.1,volinv,21,0.1223079479756583,0.16702214630099943,,-0.38077756711173305,0.55,41.56325748369156,0.029690789952470403,10801
raw,5,0,0.2,equal,5,-0.4079575479273095,-0.5406961564791437,,-0.5338148120803984,0.4875,152.90317563188594,0.10922666666666667,10801
raw,5,0,0.2,equal,10,-0.7559998802519551,-0.9698304941896561,,-0.6664644271306671,0.4125,78.24342190537912,0.05589333333333334,10801
raw,5,0,0.2,equal,21,0.24206536885463906,0.32964028689831804,,-0.3428573792879479,0.5375,35.454050550874925,0.025326666666666667,10801
raw,5,0,0.2,volinv,5,-0.44264339587260476,-0.5796454799510812,,-0.545955124583439,0.4875,161.02933910977737,0.11503160659554929,10801
raw,5,0,0.2,volinv,10,-0.7530027740038711,-0.9642948648459156,,-0.6697036547369725,0.4375,82.2880942161932,0.058782652488697275,10801
raw,5,0,0.2,volinv,21,0.34173572514596434,0.4645168073010779,,-0.32703915943470807,0.575,37.39435170977127,0.02671272439267457,10801
raw,5,0,0.3,equal,5,-0.35051087561128436,-0.4607665401702306,,-0.5022108185317513,0.475,138.26219794463475,0.09876785714285713,10801
raw,5,0,0.3,equal,10,-0.7274352978400764,-0.9422067897110467,,-0.6573122760385832,0.425,70.82844181094343,0.05059642857142857,10801
raw,5,0,0.3,equal,21,0.2854929094852665,0.3875796699041889,,-0.3426804072482923,0.4875,31.917044718081662,0.0228,10801
raw,5,0,0.3,volinv,5,-0.40048778687501896,-0.5234188084827397,,-0.5237607108202631,0.4625,147.90650908990096,0.10565728866931352,10801
raw,5,0,0.3,volinv,10,-0.7406132863836065,-0.9643757553185083,,-0.6512826412984261,0.3625,75.58625928011203,0.05399518429130225,10801
raw,5,0,0.3,volinv,21,0.3905753962361291,0.5298949717749183,,-0.30187821452369423,0.5,34.22291346185568,0.024447201607242272,10801
raw,5,2,0.1,equal,5,-0.4574380293240222,-0.5946106023016696,,-0.5607598266589817,0.4875,173.3039533376539,0.1238,10801
raw,5,2,0.1,equal,10,-0.3023589693899736,-0.3986426568047159,,-0.4781207086112732,0.5,87.91186001296175,0.0628,10801
raw,5,2,0.1,equal,21,-0.015946600735595368,-0.021972488800795116,,-0.29221581664869023,0.5125,40.36292935839274,0.02883333333333333,10801
raw,5,2,0.1,volinv,5,-0.516854160106366,-0.6685784032423021,,-0.5805552212719929,0.475,177.60543233235046,0.1268727694855633,10801
raw,5,2,0.1,volinv,10,-0.3124872830331382,-0.41228211602181597,,-0.5015201728965843,0.525,89.49131083565406,0.06392828362009917,10801
raw,5,2,0.1,volinv,21,-0.08284306423006724,-0.11286879150522484,,-0.30976065419864085,0.5125,41.72094571888112,0.029803434835293314,10801
raw,5,2,0.2,equal,5,-0.3114891050804739,-0.41092779896452,,-0.48801830394709556,0.5,151.0553467271549,0.10790666666666668,10801
raw,5,2,0.2,equal,10,-0.18118020612077523,-0.2404822629471383,,-0.3496739044198931,0.525,78.0847699287103,0.05578,10801
raw,5,2,0.2,equal,21,0.15805189954354157,0.21628627114265497,,-0.2626913218034589,0.5125,34.90343486714193,0.024933333333333335,10801
raw,5,2,0.2,volinv,5,-0.30864383943865836,-0.41183974218133756,,-0.4622534800847018,0.4875,159.53944947258242,0.11396730117416422,10801
raw,5,2,0.2,volinv,10,-0.16398192817391943,-0.22126000603929535,,-0.3627098661339344,0.5,81.90634842550548,0.05850995167618285,10801
raw,5,2,0.2,volinv,21,0.15482650245102908,0.21199517197862153,,-0.27848861057767194,0.4875,37.111326100457724,0.026510544524539933,10801
raw,5,2,0.3,equal,5,-0.3277755338054383,-0.43667357206105206,,-0.4575117085298397,0.5375,137.47727062309045,0.09820714285714285,10801
raw,5,2,0.3,equal,10,-0.1521059709615502,-0.20319659039892685,,-0.31433772357807,0.5,71.81335061568373,0.0513,10801
raw,5,2,0.3,equal,21,0.18848532801907625,0.2601301176738161,,-0.2133836660310371,0.5375,32.53698731598926,0.02324285714285714,10801
raw,5,2,0.3,volinv,5,-0.3499785401205502,-0.4714497237811032,,-0.4704350303228946,0.5125,147.95476705752378,0.10569176183785149,10801
raw,5,2,0.3,volinv,10,-0.14401895546469634,-0.1964737764875646,,-0.3204132765388922,0.4875,76.56129765162868,0.05469170475762178,10801
raw,5,2,0.3,volinv,21,0.099727342485141,0.1374288162461134,,-0.23350060650759163,0.5375,35.052970640442155,0.02504015448990845,10801
raw,10,0,0.1,equal,5,-0.571893167734272,-0.7558164542795718,,-0.5614822071301333,0.425,139.00712896953985,0.0993,10801
raw,10,0,0.1,equal,10,-0.7683414100457884,-1.0336367752869362,,-0.627729224324413,0.375,88.61179520414777,0.0633,10801
