kind,lb,sk,tf,rb,sharpe,max_dd,turn
raw,60,0,0.1,10,0.25283965277737297,-0.40728281146854584,37.10421582018938
raw,60,0,0.1,21,0.07997356244774169,-0.452748278440691,25.52036938900681
raw,60,0,0.2,10,0.07454779578419136,-0.5080966137170955,31.451826020727637
raw,60,0,0.2,21,0.04773599227363282,-0.44518753517998033,21.932156695210058
raw,60,21,0.1,10,0.20077431590515485,-0.4171280189071016,36.793469450344205
raw,60,21,0.1,21,0.22737195112812922,-0.40419256558929173,25.360826127160394
raw,60,21,0.2,10,0.2435153445947044,-0.3669798367644872,31.340565676664113
raw,60,21,0.2,21,0.24701289886660052,-0.3810063726660482,21.80452373610677
raw,120,0,0.1,10,0.1758780061354694,-0.3502822537746051,26.065821565497302
raw,120,0,0.1,21,0.2234466054509156,-0.31467953423448114,17.98893362021024
raw,120,0,0.2,10,0.07125301524420107,-0.4392717976913303,21.861543929179952
raw,120,0,0.2,21,0.15857826094637487,-0.3355652731751453,15.061183771207194
raw,120,21,0.1,10,0.37177512483947533,-0.3080891588726311,25.851819198432015
raw,120,21,0.1,21,0.39863819792950117,-0.33780653495637747,17.8906708057617
raw,120,21,0.2,10,0.32044306097053443,-0.3480503085224742,21.84965985028096
raw,120,21,0.2,21,0.2906798725462504,-0.3513811196434168,15.005741057158817
raw,180,0,0.1,10,0.419183829059857,-0.32856609582802077,20.884274955047754
raw,180,0,0.1,21,0.37736524829754475,-0.33035587041646886,14.357182939136061
raw,180,0,0.2,10,0.3709273384994776,-0.36213833887534497,17.36249291309589
raw,180,0,0.2,21,0.35841085446821896,-0.3026663765274452,12.074591450477616
raw,180,21,0.1,10,0.38028429788737644,-0.3187682307171851,20.64724120545222
raw,180,21,0.1,21,0.35452611637589676,-0.2815181511573679,14.293400281823866
raw,180,21,0.2,10,0.2649569226560056,-0.3686638759378972,17.403179314966255
raw,180,21,0.2,21,0.2324984523704913,-0.35237469895229856,12.03374839699902
raw,252,0,0.1,10,0.4561825470032341,-0.3001721837771989,16.752496085082683
raw,252,0,0.1,21,0.4658238223531113,-0.3179777442914684,11.801343733149773
raw,252,0,0.2,10,0.4339380061660304,-0.3302960717018909,14.370247691634711
raw,252,0,0.2,21,0.40166423925161016,-0.36031697711637667,10.123526538604162
raw,252,21,0.1,10,0.4485544910965231,-0.29018731220518845,16.730853711421208
raw,252,21,0.1,21,0.47626116622324965,-0.3127146910157049,11.76163327234874
raw,252,21,0.2,10,0.4270885405030179,-0.3106754627596432,14.299295132652638
raw,252,21,0.2,21,0.429675849340029,-0.29858560251120214,10.084761165870761
riskadj,60,0,0.1,10,-0.006764201555385069,-0.5084204697009336,41.34327737741599
riskadj,60,0,0.1,21,0.021537969083517718,-0.4187603193517955,27.91502420004682
riskadj,60,0,0.2,10,-0.08278018928495959,-0.6163035332409592,32.88242113912032
riskadj,60,0,0.2,21,-0.057491144539338325,-0.550116796886905,22.722030947538418
riskadj,60,21,0.1,10,0.14682613714828296,-0.4243621893293409,41.16561742742049
riskadj,60,21,0.1,21,0.2681754809126657,-0.4237924662171708,27.7485351812988
riskadj,60,21,0.2,10,0.16296822586091042,-0.3856658908921802,32.62683120448488
riskadj,60,21,0.2,21,0.2480943426760777,-0.365376726716075,22.598445566870012
riskadj,120,0,0.1,10,-0.02937916199607132,-0.6211612457752311,29.213768489149235
riskadj,120,0,0.1,21,0.1157713709251556,-0.4706144945043519,19.955006997681053
riskadj,120,0,0.2,10,-0.06067199939226954,-0.5657784627347144,22.929725159522146
riskadj,120,0,0.2,21,0.08068060933447427,-0.3940235244985453,15.795715957403706
riskadj,120,21,0.1,10,0.3765831385732977,-0.323773058378949,29.026942265149252
riskadj,120,21,0.1,21,0.38780883200038296,-0.27046253976467194,19.889181500152695
