kind,lb,sk,tf,rb,sharpe,max_dd,turn
raw,60,0,0.1,10,-0.1687578706462034,-0.6665059646088525,37.53274698224882
raw,60,0,0.1,21,-0.16574048858415816,-0.642221338592311,25.879925772842533
raw,60,0,0.2,10,-0.15571631116703838,-0.602542526074864,32.21389211763834
raw,60,0,0.2,21,-0.1133036183074152,-0.5475362513572279,22.494096674685075
raw,60,21,0.1,10,-0.03766799982521066,-0.4235397868681644,37.21811709539088
raw,60,21,0.1,21,-0.20739812732679164,-0.5985172682986386,25.59379743099917
raw,60,21,0.2,10,-0.013001488208270347,-0.39853859330387453,31.967994961917647
raw,60,21,0.2,21,-0.11256734580821537,-0.5410126880341947,22.205872335858565
raw,120,0,0.1,10,-0.015812791526949078,-0.4699238134152053,26.23752244916198
raw,120,0,0.1,21,0.014623170455436185,-0.3929112367356842,18.482617704515288
raw,120,0,0.2,10,-0.12377424875904881,-0.5184776371595146,22.87295822246769
raw,120,0,0.2,21,-0.11655386348691672,-0.5369447271260608,15.992138924217109
raw,120,21,0.1,10,0.14498284010910514,-0.35111000166255424,26.330351540545077
raw,120,21,0.1,21,0.11078323626202685,-0.3127002514189162,18.268189245872254
raw,120,21,0.2,10,-0.05914732807656221,-0.40310434335443845,22.77593822760432
raw,120,21,0.2,21,-0.04746605271829974,-0.4724738340772946,15.840356715438457
raw,180,0,0.1,10,0.0522498687117595,-0.34907665224229767,21.4829078398886
raw,180,0,0.1,21,0.2008509937096217,-0.3258705014950606,15.054855627191245
raw,180,0,0.2,10,-0.005641553813694398,-0.4295251841935982,18.7175376458961
raw,180,0,0.2,21,0.06791884630106168,-0.4306190795403597,13.275589599956477
raw,180,21,0.1,10,0.20117884820042373,-0.2913490267952977,21.319986124658612
raw,180,21,0.1,21,0.18683280389650175,-0.3046410428510824,14.960411538301248
raw,180,21,0.2,10,0.08387726615523704,-0.3940090447042719,18.775319786047362
raw,180,21,0.2,21,0.10696641184763088,-0.362401334469467,13.164890575200564
raw,252,0,0.1,10,0.12291400835884998,-0.31758301958783786,18.23689739290445
raw,252,0,0.1,21,0.1635063192273138,-0.3141445789032554,12.868974296629593
raw,252,0,0.2,10,0.21830061698960623,-0.31313836622510294,15.542820665885396
raw,252,0,0.2,21,0.18784636186581383,-0.3079873658604977,11.036300006605822
raw,252,21,0.1,10,0.14016090237357048,-0.3082216540347983,18.135242894421356
raw,252,21,0.1,21,0.23826243993595264,-0.27843938135948276,12.883843373367691
raw,252,21,0.2,10,0.24023681493089255,-0.29357699843802976,15.521333924857682
raw,252,21,0.2,21,0.22333418271527875,-0.27991866604452986,11.045676039699377
riskadj,60,0,0.1,10,-0.26733349576730014,-0.7064575727012536,41.800027874103755
riskadj,60,0,0.1,21,-0.3367212190675032,-0.7516012748469965,28.591360933541313
riskadj,60,0,0.2,10,-0.14257279347320037,-0.5730086952265823,33.748930078269595
riskadj,60,0,0.2,21,-0.12272999143758588,-0.5197636670951664,23.341459312975285
riskadj,60,21,0.1,10,-0.13676135500361197,-0.4610873420059598,41.657399155656776
riskadj,60,21,0.1,21,-0.09950950932703842,-0.45347099683078984,28.256324093465235
riskadj,60,21,0.2,10,0.08147900772683588,-0.3733717505874389,33.323594533114026
riskadj,60,21,0.2,21,-0.03729519746375828,-0.4815006187914409,23.186278504272256
riskadj,120,0,0.1,10,-0.11556663888953102,-0.5060272530573596,30.136750628023748
riskadj,120,0,0.1,21,-0.02306542642912633,-0.44128815806554,20.636339715019158
riskadj,120,0,0.2,10,-0.16954502449500536,-0.5647422347211435,23.977871924104132
riskadj,120,0,0.2,21,-0.0725485847502361,-0.4036740014093261,16.65748203028403
riskadj,120,21,0.1,10,0.012414199829844314,-0.38086198356753054,30.051977964307344
riskadj,120,21,0.1,21,0.14119182942909836,-0.27590219901836244,20.470083496351535
riskadj,120,21,0.2,10,0.04332543296788969,-0.337075194094389,23.910628598591014
riskadj,120,21,0.2,21,-0.027214769441832622,-0.4456482769301642,16.550414075359686
riskadj,180,0,0.1,10,0.08856605252832812,-0.3866962582303619,24.3410217685517
riskadj,180,0,0.1,21,0.16182803516634214,-0.33154249956860926,16.84408729546386
riskadj,180,0,0.2,10,-0.08529658321927656,-0.5186025030171036,19.769873151726866
riskadj,180,0,0.2,21,0.03395100254777439,-0.4514677626568038,13.99433060117417
riskadj,180,21,0.1,10,0.17678031095236896,-0.31784391764784137,24.28455185883033
riskadj,180,21,0.1,21,0.1707863726754975,-0.2873231306013708,16.761805868421092
riskadj,180,21,0.2,10,0.09689835109029533,-0.4026455899180824,19.589958318954498
riskadj,180,21,0.2,21,0.1853638651974164,-0.2886047447017872,13.868407415395694
riskadj,252,0,0.1,10,0.1792986432135257,-0.30002488586292675,20.30179566877158
riskadj,252,0,0.1,21,0.11341463142963243,-0.33085290292011915,14.16529008689774
riskadj,252,0,0.2,10,0.20100761480534896,-0.33232338591266586,16.46786545768316
riskadj,252,0,0.2,21,0.11737833732426915,-0.40726365538838527,11.62436210525871
riskadj,252,21,0.1,10,0.19404377315101148,-0.30836622652849577,20.539855463055854
riskadj,252,21,0.1,21,0.2406033254924074,-0.369407146126584,14.141972473788492
riskadj,252,21,0.2,10,0.2314116494983178,-0.2601058229813631,16.33181041689229
riskadj,252,21,0.2,21,0.26634444485729125,-0.35711520746284653,11.569899225371337
resid,60,0,0.1,10,-0.24551721645805114,-0.6689956287036529,41.50007190703954
resid,60,0,0.1,21,-0.21851612502880838,-0.6326059614064465,28.197329951429886
resid,60,0,0.2,10,-0.1289619425439782,-0.5397901120399775,33.127888441402376
